word,custom_synset,hypernyms
arborio,arborio_rice.n.01,rice.n.01
arepa,arepa.n.01,sandwich.n.01
baby corn,baby_corn.n.01,corn.n.01
blueberry mousse,blueberry_mousse.n.01,mousse.n.01
bread slice,bread_slice.n.01,bread.n.01
broccolini,broccolini.n.01,cruciferous_vegetable.n.01
burrito bowl,burrito_bowl.n.01,salad.n.01
chocolate biscuit,chocolate_biscuit.n.01,cookie.n.01
copper mug,copper_mug.n.01,mug.n.01
hamster wheel,hamster_wheel.n.01,exercise_device.n.01
knife block,knife_block.n.01,rack.n.05
pet bed,pet_bed.n.01,bedroom_furniture.n.01
pizza box,pizza_box.n.01,box.n.01
whitewall tire,whitewall_tire.n.01,tire.n.01
kielbasa,kielbasa.n.01,sausage.n.01
wool coat,wool_coat.n.01,coat.n.01
goalkeeper gloves,goalkeeper_gloves.n.01,glove.n.02
feta,feta.n.01,cheese.n.01
mojito,mojito.n.01,cocktail.n.01
carne asada,carne_asada.n.01,steak.n.01
chia seeds,chia_seed.n.01,edible_seed.n.01
pumpkin pie spice,pumpkin_pie_spice.n.01,spice.n.02
quinoa,quinoa.n.01,grain.n.02
ramen,ramen.n.01,noodle.n.01
cookie dough,cookie_dough.n.01,dough.n.01
jean jacket,jean_jacket.n.01,jacket.n.01
litter box,litter_box.n.01,box.n.01
dreidel,dreidel.n.01,spinning_top.n.01
lemon-pepper seasoning,lemon-pepper_seasoning.n.01,seasoning.n.01
dehumidifier,dehumidifier.n.01,appliance.n.02
cat food tin,cat_food__tin.n.01,can.n.01
champagne bottle,champagne__bottle.n.01,bottle.n.01
deodorant spray bottle,deodorant__atomizer.n.01,atomizer.n.01
detergent bottle,detergent__bottle.n.01,bottle.n.01
dog food bag,dog_food__bag.n.01,sack.n.01
gin bottle,gin__bottle.n.01,bottle.n.01
glue bottle,glue__bottle.n.01,bottle.n.01
gum box,gum__box.n.01,box.n.01
honey jar,honey__jar.n.01,jar.n.01
hot sauce bottle,hot_sauce__bottle.n.01,bottle.n.01
lotion bottle,lotion__bottle.n.01,bottle.n.01
orange juice carton,orange_juice__carton.n.01,bottle.n.01
perfume bottle,perfume__bottle.n.01,bottle.n.01
rum bottle,rum__bottle.n.01,bottle.n.01
soup can,soup__can.n.01,can.n.01
sunflower seed bag,sunflower_seed__bag.n.01,sack.n.01
sunscreen bottle,sunscreen__bottle.n.01,bottle.n.01
vodka bottle,vodka__bottle.n.01,bottle.n.01
lemon juice bottle,lemon_juice__bottle.n.01,bottle.n.01
vegetable oil bottle,vegetable_oil__bottle.n.01,bottle.n.01
yogurt cup,yogurt__cup.n.01,cup.n.01
instant coffee jar,instant_coffee__jar.n.01,jar.n.01
polish bottle,polish__bottle.n.01,bottle.n.01
tupperware,tupperware.n.01,container.n.01
