Object name,Reviewed,Valid Name,Original category (auto),ID (auto),New Category,Original Synset (auto),New Synset (auto),Exists in deletion?,Ready to delete?
apple_juice-pttzdw,1,1,apple_juice,pttzdw,bottle_of_apple_juice,#N/A,bottle__of__apple_juice.n.01,0,0
apple_juice-xvrbdy,1,1,apple_juice,xvrbdy,bottle_of_apple_juice,#N/A,bottle__of__apple_juice.n.01,0,0
apple_juice-zjzgjy,1,1,apple_juice,zjzgjy,box_of_apple_juice,#N/A,box__of__apple_juice.n.01,0,0
monitor-fabztm,1,1,monitor,fabztm,webcam,monitor.n.04,webcam.n.02,0,0
bag_of_bread-fckfij,1,1,bag_of_bread,fckfij,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_bread-sfupqo,1,1,bag_of_bread,sfupqo,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_bread-wjbnfu,1,1,bag_of_bread,wjbnfu,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_bread-yehtiv,1,1,bag_of_bread,yehtiv,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_cookie-bbyvsc,1,1,bag_of_cookie,bbyvsc,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
bag_of_cookie-ikivgk,1,1,bag_of_cookie,ikivgk,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
bag_of_cookie-ksjtde,1,1,bag_of_cookie,ksjtde,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
bag_of_cookie-vafomx,1,1,bag_of_cookie,vafomx,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
barbecue_sauce-ikbsox,1,1,barbecue_sauce,ikbsox,bottle_of_barbecue_sauce,barbecue_sauce.n.01,bottle__of__barbecue_sauce.n.01,0,0
barbecue_sauce-nkqvex,1,1,barbecue_sauce,nkqvex,bottle_of_barbecue_sauce,barbecue_sauce.n.01,bottle__of__barbecue_sauce.n.01,0,0
barbecue_sauce-rzevkb,1,1,barbecue_sauce,rzevkb,bottle_of_barbecue_sauce,barbecue_sauce.n.01,bottle__of__barbecue_sauce.n.01,0,0
beer_box-lzrdiz,1,1,beer_box,lzrdiz,box_of_beer,#N/A,box__of__beer.n.01,0,0
beer_box-ubvfih,1,1,beer_box,ubvfih,box_of_beer,#N/A,box__of__beer.n.01,0,0
beer-bwaboq,1,1,beer,bwaboq,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-crfcwo,1,1,beer,crfcwo,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-dcwvkg,1,1,beer,dcwvkg,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-dqfsgv,1,1,beer,dqfsgv,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-eicnxj,1,1,beer,eicnxj,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-fcnrqt,1,1,beer,fcnrqt,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-fgzjnb,1,1,beer,fgzjnb,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-gxxbhh,1,1,beer,gxxbhh,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-hauvsg,1,1,beer,hauvsg,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-ikgezm,1,1,beer,ikgezm,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
beer-jssuog,1,1,beer,jssuog,bottle_of_beer,beer.n.01,bottle__of__beer.n.01,0,0
