"Name","Synset State","Custom?","Leaf?","Definition","Parents","Children","Tasks","Direct Categories","Direct Objects","Total Objects","Requiring Task Count"
"acetone.n.01","Substance","False","True","the simplest ketone; a highly inflammable liquid widely used as an organic solvent and as material for making plastics","ketone.n.01,                         solvent.n.01,","","clean_marker_off_a_doll-0,                         spring_clean_your_skateboard-0,","acetone,","0","0","2"
"acetone__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","clean_marker_off_a_doll-0,                         spring_clean_your_skateboard-0,","acetone_atomizer,","1","1","2"
"acorn.n.01","Ready","False","True","fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base","fruit.n.01,","","planting_trees-0,","acorn,","1","1","1"
"address.n.05","Ready","False","True","a sign in front of a house or business carrying the conventional form by which its location is described","street_sign.n.01,","","hanging_address_numbers-0,","address,","1","1","1"
"adhesive_material.n.01","Substance","False","True","a substance that unites or bonds surfaces together","material.n.01,","","clean_a_glass_pipe-0,                         clean_a_razor_blade-0,                         clean_a_sieve-0,                         clean_a_toaster-0,                         clean_and_disinfect_ice_trays-0,                         clean_baking_sheets-0,                         clean_cup_holders-0,                         clean_place_mats-0,                         clean_plastic_containers-0,                         clean_quarters-0,                       ...","adhesive_material,","9","9","17"
"air_conditioner.n.01","Ready","False","True","a system that keeps air cool and dry","cooling_system.n.02,","","buy_a_air_conditioner-0,                         clean_a_air_conditioner-0,","air_conditioner,                         ceiling_air_conditioner,","2","2","2"
"air_filter.n.01","Ready","False","True","a filter that removes dust from the air that passes through it","filter.n.01,","","clean_an_air_filter-0,","air_filter,","1","1","1"
"alarm.n.02","Ready","False","False","a device that signals the occurrence of some undesirable event","device.n.01,","fire_alarm.n.02,","installing_alarms-0,","","0","6","1"
"allen_wrench.n.01","Ready","False","True","a wrench for Allen screws","wrench.n.03,","","outfit_a_basic_toolbox-0,","allen_wrench,","1","1","1"
"allspice.n.03","Substance","False","True","ground dried berrylike fruit of a West Indian allspice tree; suggesting combined flavors of cinnamon and nutmeg and cloves","spice.n.02,","","make_pumpkin_pie_spice-0,","allspice,","1","1","1"
"allspice__shaker.n.01","Ready","True","True","","container.n.01,","","make_pumpkin_pie_spice-0,","allspice_shaker,","1","1","1"
"almond.n.02","Substance","False","True","oval-shaped edible seed of the almond tree","drupe.n.01,                         edible_nut.n.01,","","make_homemade_bird_food-0,                         prepare_wine_and_cheese-0,","almond,","10","10","2"
"aluminum_foil.n.01","Ready","False","True","foil made of aluminum","foil.n.01,","","cleaning_up_plates_and_food-0,                         cook_bacon-0,                         cook_sweet_potatoes-0,                         freeze_lasagna-0,                         glaze_a_ham-0,                         roast_meat-0,                         warm_tortillas-0,","aluminum_foil,","1","1","7"
"ammonia_water.n.01","Substance","False","True","a water solution of ammonia","liquid.n.01,","","clean_jewels-0,                         clean_soot_from_glass_lanterns-0,","ammonia_water,","0","0","2"
"ammonia_water__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","clean_jewels-0,                         clean_soot_from_glass_lanterns-0,","ammonia_water_atomizer,","1","1","2"
"antler.n.01","Ready","False","True","deciduous horn of a member of the deer family","horn.n.02,","","clean_deer_antlers-0,","antlers,","2","2","1"
"apple.n.01","Ready","False","True","fruit with red or yellow or green skin and sweet to tart crisp whitish flesh","edible_fruit.n.01,                         pome.n.01,","","bag_groceries-0,                         buying_everyday_consumer_goods-0,                         clean_apples-0,                         composting_waste-0,                         freeze_fruit-0,                         make_applesauce-0,                         make_fruit_punch-0,                         make_homemade_bird_food-0,                         make_stewed_fruit-0,                         paying_for_purchases-0,                       ...","apple,","13","13","14"
"applesauce.n.01","Substance","False","True","puree of stewed apples usually sweetened and spiced","dish.n.02,","","make_applesauce-0,","applesauce,","0","0","1"
"apron.n.01","Ready","False","True","a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing","protective_garment.n.01,","","sorting_volunteer_materials-0,","apron,","1","1","1"
"arepa.n.01","Ready","True","True","","sandwich.n.01,","","cook_arepas-0,","arepa,","1","1","1"
"armchair.n.01","Ready","False","True","chair with a support on each side for arms","chair.n.01,","","fixing_broken_chair-0,                         laying_restaurant_table_for_dinner-0,","armchair,","53","53","2"
"artichoke.n.02","Ready","False","True","a thistlelike flower head with edible fleshy leaves and heart","vegetable.n.01,","","picking_vegetables_in_garden-0,                         sorting_vegetables-0,","artichoke,","1","1","2"
"ash.n.01","Substance","False","True","the residue that remains when something is burned","residue.n.01,","","emptying_ashtray-0,","ash,","2","2","1"
"ashcan.n.01","Ready","False","True","a bin that holds rubbish until it is collected","bin.n.01,","","clean_a_chicken_coop-0,                         clean_a_vacuum-0,                         clean_an_espresso_machine-0,                         clean_decking-0,                         clean_out_a_guinea_pigs_hutch-0,                         cleaning_garden_path-0,                         cleaning_microwave_oven-0,                         cleaning_restaurant_table-0,                         cleaning_the_yard-0,                         cleaning_up_branches_and_twigs-0,                       ...","trash_can,","28","28","26"
"ashtray.n.01","Ready","False","True","a receptacle for the ash from smokers' cigars or cigarettes","receptacle.n.01,","","emptying_ashtray-0,","ashtray,","2","2","1"
"asparagus.n.02","Ready","False","True","edible young shoots of the asparagus plant","vegetable.n.01,","","can_vegetables-0,                         cook_asparagus-0,                         saute_vegetables-0,","asparagus,","3","3","3"
