task_name,BDDL checked - Sanjana - first round semantics,BDDL checked - Sharon - second round semantics,BDDL checked - Ruohan - final check and simulatability,Sanjana's counter,Sharon's counter,,Ruohan's counter,,
adding chemicals to hot tub,1,1,1,988,,,,,
adding chemicals to lawn,1,1,1,,1,983,1,985,989
adding chemicals to pool,1,1,1,,,,0,4,
adding fabric softener,1,1,1,,Name Change,,,,
applying pesticides,1,1,1,,?,1,,,
arranging home,,,,missing,0,,,,
assembling furniture,1,1,1,,,,,,
assembling gift baskets,1,1,1,b100,,,,,
attach a camera to a tripod,1,1,1,,,,,,
bag groceries,1,1,1,,,,,,
baking cookies for the PTA bake sale,1,1,1,,,,,,
baking sugar cookies,1,,1,,,,,,
boil water,1,1,1,,,,,,
boil water in the microwave,1,1,1,,,,,,
bottling fruit,1,,1,b100,,,,,
boxing books up for storage,1,1,1,,,,,,
boxing food after dinner,1,1,1,,,,,,
brewing coffee,1,1,1,og tm,,,,,
bringing glass to recycling,1,1,1,,,,,,
bringing in kindling,1,1,1,,,,,,
bringing in mail,1,1,1,,,,,,
bringing in wood,1,1,1,,,,,,
bringing laundry,1,1,1,,,,,,
bringing newspaper in,1,1,1,,,,,,
bringing paper to recycling,1,1,1,,,,,,
bringing water,1,1,1,,,,,,
brushing lint off clothing,1,1,1,,,,,,
buy a air conditioner,1,1,1,,,,,,
buy a belt,1,1,1,,,,,,
buy a good avocado,1,1,1,,,,,,
buy a keg,1,1,1,,,,,,
buy alcohol,1,1,1,,,,,,
buy and clean mussels,1,1,1,,,,,,
buy boxes for packing,1,1,1,,,,,,
buy candle making supplies,1,1,1,,,,,,
buy dog food,1,1,1,,,,,,
buy eggs,1,1,1,,,,,,
buy food for a party,1,1,1,,,,,,
buy good chocolate,1,1,1,,,,,,
buy home use medical supplies,1,1,1,,,,,,
buy mulch,1,1,1,,,,,,
buy pet food for less,1,Name Change,1,,,,,,
buy rechargeable batteries,1,1,1,,,,,,
buy school supplies for high school,1,1,1,,,,,,
buying cleaning supplies,1,1,1,,,,,,
buying everyday consumer goods,1,1,1,,,,,,
buying fast food,1,1,1,,,,,,
buying groceries,1,1,1,,,,,,
buying groceries for a feast,1,1,1,,,,,,
buying office supplies,1,1,1,,,,,,
buying postage stamps,1,1,1,,,,,,
can beans,1,1,1,,,,,,
can fruit,1,1,1,Team Discussion,,,,,
can meat,1,1,1,,,,,,
can syrup,1,1,1,,,,,,
can vegetables,1,1,1,,,,,,
canning food,1,1,1,,,,,,
carrying in groceries,1,1,1,,,,,,
carrying out garden furniture,1,1,1,,,,,,
carrying water,1,1,1,,,,,,
changing bulbs,1,1,1,Team Discussion,,,,,
changing dog's water,1,1,1,,,,,,
changing light bulbs,1,1,1,,,,,,
changing sheets,1,1,1,,,,,,
chlorinating the pool,1,1,1,,,,,,
chop an onion,1,1,1,,,,,,
chopping vegetables,1,1,1,,,,,,
chopping wood,1,1,1,,,,,,
clean a air conditioner,1,1,1,,,,,,
clean a backpack,1,1,1,,,,,,
clean a baking stone,1,1,1,,,,,,
clean a baseball glove,1,1,1,,,,,,
clean a beer keg,1,1,1,,,,,,
clean a bicycle chain,1,1,1,,,,,,
clean a birdcage,1,1,1,,,,,,
clean a blender,1,1,1,,,,,,
clean a book,1,1,1,,,,,,
clean a bowling ball,1,1,1,,,,,,
clean a box fan,1,1,1,,,,,,
clean a broiler pan,1,1,1,,,,,,
clean a camera lens,1,1,1,,,,,,
clean a candle jar,1,1,1,,,,,,
clean a chicken coop,1,1,1,,,,,,
clean a coffee maker,1,1,1,,,,,,
clean a company office,1,1,1,,,,,,
clean a computer monitor,1,1,1,,,,,,
clean a couch,1,1,1,,,,,,
clean a crab,1,1,1,,,,,,
clean a dirty baseball,1,1,1,,,,,,
clean a dirty tent,1,1,1,,,,,,
clean a drain,1,1,1,,,,,,
clean a faucet,1,1,1,,,,,,
clean a felt pool table top,1,1,1,,,,,,
clean a fence,1,1,1,,,,,,
clean a fish,1,1,1,,,,,,
clean a flat iron,1,1,1,,,,,,
clean a flat panel monitor,1,1,1,,,,,,
clean a garden sprayer,1,1,1,,,,,,
clean a glass pipe,1,1,1,,,,,,
clean a glass windshield,1,1,1,,,,,,
clean a golf club,1,1,1,,,,,,
clean a gravestone,1,1,1,,,,,,
clean a grill pan,1,1,1,,,,,,
clean a hamper,1,1,1,,,,,,
clean a hat,1,1,1,,,,,,
clean a hot water dispenser,1,1,1,,,,,,
clean a keyboard,1,1,1,,,,,,
clean a kitchen sink,1,1,1,,,,,,
clean a kitchen table,1,1,1,,,,,,
clean a knife,1,1,1,,,,,,
clean a knife block,1,1,1,,,,,,
clean a leather belt,1,1,1,,,,,,
clean a LED screen,1,1,1,,,,,,
clean a light bulb,1,1,1,,,,,,
clean a lobster,1,1,1,,,,,,
clean a longboard,1,1,1,,,,,,
clean a loofah or natural sponge,1,1,1,special cleaning fluid (diluted bleach),,,,,
clean a mattress,1,1,1,,,,,,
clean a mousepad,1,1,1,,,,,,
clean a patio,1,1,1,,,,,,
clean a piano,1,1,1,,,,,,
clean a pickup truck,1,1,1,,,,,,
clean a pizza stone,1,1,1,,,,,,
clean a popcorn machine,1,1,1,,,,,,
clean a pumpkin,1,1,1,,,,,,
clean a purse,1,1,1,,,,,,
clean a quilt,1,1,1,,,,,,
clean a raincoat,1,1,1,,,,,,
clean a razor blade,1,1,1,,,,,,
clean a rice cooker,1,1,1,,,,,,
clean a rug,1,1,1,,,,,,
clean a sauna,1,1,1,,,,,,
clean a sauna suit,1,1,1,,,,,,
clean a saxophone,1,1,1,,,,,,
clean a shower,1,1,1,,,,,,
clean a sieve,1,1,1,,,,,,
clean a small pet cage,1,1,1,,,,,,
clean a sofa,1,1,1,,,,,,
clean a softball bat,1,1,1,,,,,,
clean a sponge,1,1,1,,,,,,
clean a stainless steel dishwasher,1,1,1,,,,,,
clean a suitcase,1,1,1,,,,,,
clean a teddy bear,1,1,1,,,,,,
clean a tie,1,1,1,,,,,,
clean a toaster,1,1,1,,,,,,
clean a toaster oven,1,1,1,,,,,,
clean a trombone,1,1,1,,,,,,
clean a trumpet,1,1,1,,,,,,
clean a turkey,1,1,1,,,,,,
clean a vacuum,1,1,1,,,,,,
clean a violin,1,1,1,,,,,,
clean a watch,1,1,1,,,,,,
clean a whiteboard,1,1,1,,,,,,
clean a wood pipe,1,1,1,,,,,,
clean an air filter,1,1,1,,,,,,
clean an electric kettle,1,1,1,,,,,,
clean an electric razor,1,1,1,,,,,,
clean an eraser,1,1,1,,,,,,
clean an espresso machine,1,1,1,,,,,,
clean an iron,1,1,1,,,,,,
clean an office chair,1,1,1,,,,,,
clean and disinfect ice trays,1,1,1,,,,,,
clean apples,1,1,1,,,,,,
clean baby toys,1,1,1,,,,,,
clean baking sheets,1,1,1,,,,,,
clean batting gloves,1,1,1,,,,,,
clean black rims,1,1,1,,,,,,
clean bok choy,1,1,1,,,,,,
clean boxing gloves,1,1,1,,,,,,
clean brass,1,1,1,,,,,,
clean brass casings,1,1,1,,,,,,
clean brooms,1,1,1,,,,,,
clean cabbage,1,1,1,,,,,,
clean carpets,1,1,1,,,,,,
clean cement,1,1,1,,,,,,
clean clams,1,1,1,,,,,,
clean clear plastic,1,1,1,,,,,,
clean conch shells,1,1,1,,,,,,
clean copper mugs,1,1,1,,,,,,
clean copper wire,1,1,1,special cleaning fluid,,,,,
clean cork mats,1,1,1,,,,,,
clean couch pillows,1,1,1,,,,,,
clean cup holders,1,1,1,,,,,,
clean cups,1,1,1,,,,,,
clean decking,1,1,1,,,,,,
clean deer antlers,1,1,1,,,,,,
clean dentures,1,1,1,,,,,,
clean dentures with vinegar,1,1,1,,,,,,
clean dog collars,1,1,1,,,,,,
clean eggs,1,1,1,,,,,,
clean fishing lures,1,1,1,,,,,,
clean flip flops,1,1,1,,,,,,
clean fur,1,1,1,,,,,,
clean garden gloves,1,1,1,,,,,,
clean gas logs,1,1,1,,,,,,
clean geodes,1,1,1,,,,,,
clean gold,1,1,1,,,,,,
clean gourds,1,1,1,,,,,,
clean grease,1,1,1,,,,,,
clean green beans,1,1,1,,,,,,
clean greens,1,1,1,,,,,,
clean household cleaning tools,1,1,1,,,,,,
