id,category,board link,synset,approved,mass estimate ig2,mass estimate gpt3,mass estimate chatgpt4,mass estimate gpt4,old annotated mass,new annotated mass,mass (auto),description,approval comments
0,ceilings,ceilings,ceiling.n.01,1,,,,"1,000.000",,,1000.000,,
1,walls,walls,wall.n.01,1,,,,"15,000.000",,,15000.000,,
2,floors,floors,floor.n.01,1,,,,500.000,,,500.000,,
3,armchair,armchair,armchair.n.01,1,21.131,25.000,20.000,25.000,21.131,20.000,20.000,,
4,bathtub,bathtub,bathtub.n.01,1,57.606,150.000,110.000,150.000,57.606,110.00,110.000,,
5,bed,bed,bed.n.01,1,57.125,50.000,50.000,90.000,57.125,50.00,50.000,,
6,bench,bench,bench.n.01,1,13.898,30.000,25.000,20.000,13.898,25.000,25.000,,
7,bottom_cabinet,bottom_cabinet,cabinet.n.01,1,22.441,50.000,50.000,40.000,27.538,50.000,50.000,,
8,bottom_cabinet_no_top,bottom_cabinet_no_top,cabinet.n.01,1,22.441,30.000,40.000,35.000,27.538,40.000,40.000,,
9,breakfast_table,breakfast_table,breakfast_table.n.01,1,18.144,40.000,10.000,20.000,18.144,18.00,18.000,,
10,burner,burner,burner.n.02,1,16.783,,0.500,1.500,16.783,0.500,0.500,,
11,carpet,carpet,rug.n.01,1,2.404,,,10.000,2.404,8.00,8.000,,
12,chaise_longue,chaise_longue,chaise_longue.n.01,1,9.072,50.000,30.000,30.000,9.072,,36.667,,
13,coffee_maker,coffee_maker,coffee_maker.n.01,1,3.538,5.000,2.500,5.000,3.538,,4.167,,
14,coffee_table,coffee_table,coffee_table.n.01,1,11.620,20.000,15.000,20.000,11.620,,18.333,,
15,console_table,console_table,console_table.n.01,1,11.793,15.000,15.000,14.000,11.793,,14.667,,
16,countertop,countertop,countertop.n.01,1,221.126,,,50.000,221.126,221.126,221.126,,
17,crib,crib,crib.n.01,1,20.638,20.000,30.000,20.000,20.638,,23.333,,
18,desk,desk,desk.n.01,1,18.144,50.000,40.000,45.000,18.144,,45.000,,
19,dishwasher,dishwasher,dishwasher.n.01,1,30.391,60.000,45.000,40.000,30.391,,48.333,,
20,door,door,door.n.01,1,26.308,,35.000,30.000,26.308,,32.500,,
21,floor_lamp,floor_lamp,floor_lamp.n.01,1,4.296,5.000,5.000,8.000,4.296,,6.000,,
22,folding_chair,folding_chair,folding_chair.n.01,1,9.072,5.000,4.500,3.500,9.072,,4.333,,
23,fridge,fridge,electric_refrigerator.n.01,1,92.986,100.000,75.000,75.000,92.986,,83.333,,
24,gaming_table,gaming_table,gaming_table.n.01,1,18.144,60.000,50.000,75.000,18.144,,61.667,,
25,grandfather_clock,grandfather_clock,grandfather_clock.n.01,1,21.319,100.000,50.000,75.000,21.319,,75.000,,
26,guitar,guitar,guitar.n.01,1,1.746,5.000,2.000,3.000,1.746,,3.333,,
27,highchair,highchair,highchair.n.01,1,9.072,10.000,8.000,10.000,9.072,,9.333,,
28,laptop,laptop,laptop.n.01,1,1.712,2.000,2.000,2.000,1.712,,2.000,,
29,loudspeaker,loudspeaker,loudspeaker.n.01,1,6.532,5.000,15.000,2.500,0.544,,7.500,,
30,microwave,microwave,microwave.n.02,1,12.032,15.000,15.000,18.000,12.032,,16.000,,
31,mirror,mirror,mirror.n.01,1,4.511,10.000,,5.000,4.511,4.511,4.511,,
32,monitor,monitor,monitor.n.04,1,3.260,5.000,5.000,4.000,3.260,,4.667,,
33,oven,oven,oven.n.01,1,63.503,50.000,65.000,45.000,63.503,,53.333,,
34,pedestal_table,pedestal_table,pedestal_table.n.01,1,18.144,40.000,15.000,20.000,18.144,,25.000,,
35,piano,piano,piano.n.01,1,228.157,200.000,200.000,270.000,228.157,,223.333,,
36,picture,picture,photograph.n.01,1,0.472,,,0.300,0.472,0.472,0.472,,
37,pillow,pillow,pillow.n.01,1,1.134,1.000,1.500,0.700,1.134,,1.067,,
38,pool_table,pool_table,pool_table.n.01,1,74.729,250.000,250.000,250.000,74.729,,250.000,,
39,pot_plant,pot_plant,pot_plant.n.01,1,4.536,,,5.000,4.536,4.536,4.536,,
40,rail_fence,rail_fence,rail_fence.n.01,1,4.799,,,50.000,4.799,4.799,4.799,,
41,range_hood,range_hood,range_hood.n.01,1,13.503,20.000,15.000,18.000,13.503,,17.667,,
42,rocking_chair,rocking_chair,rocking_chair.n.01,1,9.072,25.000,15.000,10.000,9.072,,16.667,,
43,shelf,shelf,shelf.n.01,1,11.090,10.000,,5.000,11.090,,7.500,,
