Object name,Valid Name,Original category (auto),ID (auto),New Category,Original Synset (auto),New Synset (auto),Duplicate?,Exists in deletion?
apple_juice-xvrbdy,1,apple_juice,xvrbdy,bottle_of_apple_juice,#N/A,bottle__of__apple_juice.n.01,0,0
apple_juice-zjzgjy,1,apple_juice,zjzgjy,box_of_apple_juice,#N/A,box__of__apple_juice.n.01,0,0
monitor-fabztm,1,monitor,fabztm,webcam,monitor.n.04,webcam.n.02,0,0
bag_of_bread-fckfij,1,bag_of_bread,fckfij,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_bread-sfupqo,1,bag_of_bread,sfupqo,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_bread-wjbnfu,1,bag_of_bread,wjbnfu,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_bread-yehtiv,1,bag_of_bread,yehtiv,pack_of_bread,#N/A,pack__of__bread.n.01,0,0
bag_of_cookie-bbyvsc,1,bag_of_cookie,bbyvsc,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
bag_of_cookie-ikivgk,1,bag_of_cookie,ikivgk,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
bag_of_cookie-ksjtde,1,bag_of_cookie,ksjtde,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
bag_of_cookie-vafomx,1,bag_of_cookie,vafomx,bag_of_cookies,#N/A,bag__of__cookies.n.01,0,0
barbecue_sauce-ikbsox,1,barbecue_sauce,ikbsox,bottle_of_barbecue_sauce,#N/A,bottle__of__barbecue_sauce.n.01,0,0
barbecue_sauce-nkqvex,1,barbecue_sauce,nkqvex,bottle_of_barbecue_sauce,#N/A,bottle__of__barbecue_sauce.n.01,0,0
barbecue_sauce-rzevkb,1,barbecue_sauce,rzevkb,bottle_of_barbecue_sauce,#N/A,bottle__of__barbecue_sauce.n.01,0,0
beer_box-lzrdiz,1,beer_box,lzrdiz,box_of_beer,#N/A,box__of__beer.n.01,0,0
beer_box-ubvfih,1,beer_box,ubvfih,box_of_beer,#N/A,box__of__beer.n.01,0,0
beer-bwaboq,1,beer,bwaboq,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-crfcwo,1,beer,crfcwo,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-dcwvkg,1,beer,dcwvkg,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-dqfsgv,1,beer,dqfsgv,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-eicnxj,1,beer,eicnxj,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-fcnrqt,1,beer,fcnrqt,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-fgzjnb,1,beer,fgzjnb,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-gxxbhh,1,beer,gxxbhh,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-hauvsg,1,beer,hauvsg,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-ikgezm,1,beer,ikgezm,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-jssuog,1,beer,jssuog,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-jtgyoo,1,beer,jtgyoo,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-jxhtdl,1,beer,jxhtdl,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-kqskmv,1,beer,kqskmv,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-meqliv,1,beer,meqliv,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-mhzpkh,1,beer,mhzpkh,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-miiijl,1,beer,miiijl,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-mljzrl,1,beer,mljzrl,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-nfzzqc,1,beer,nfzzqc,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-noxtlc,1,beer,noxtlc,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-qepxvl,1,beer,qepxvl,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-rbpakt,1,beer,rbpakt,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-rdnopv,1,beer,rdnopv,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-rjwdae,1,beer,rjwdae,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-saslsh,1,beer,saslsh,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-ukbhdj,1,beer,ukbhdj,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-vhscym,1,beer,vhscym,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-xpqnfz,1,beer,xpqnfz,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-zbsxro,1,beer,zbsxro,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
beer-zlmwyn,1,beer,zlmwyn,bottle_of_beer,#N/A,bottle__of__beer.n.01,0,0
bottle_cap-arskxc,1,bottle_cap,arskxc,cap,#N/A,cap.n.02,0,0
bottle_cap-dmzavi,1,bottle_cap,dmzavi,cap,#N/A,cap.n.02,0,0
bottle_cap-iizvmn,1,bottle_cap,iizvmn,cap,#N/A,cap.n.02,0,0
bottle_cap-tpknvf,1,bottle_cap,tpknvf,cap,#N/A,cap.n.02,0,0
bottle_cap-uxpeaz,1,bottle_cap,uxpeaz,cap,#N/A,cap.n.02,0,0
bottle_cap-xeswtq,1,bottle_cap,xeswtq,cap,#N/A,cap.n.02,0,0
box_of_cake-yjazet,1,box_of_cake,yjazet,boxed_cake,#N/A,boxed__cake.n.01,0,0
box_of_cookie-apjokz,1,box_of_cookie,apjokz,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-fsdjun,1,box_of_cookie,fsdjun,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-fzlaol,1,box_of_cookie,fzlaol,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-hdgsxz,1,box_of_cookie,hdgsxz,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-jtalxs,1,box_of_cookie,jtalxs,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-lwhbid,1,box_of_cookie,lwhbid,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-nirfva,1,box_of_cookie,nirfva,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-nnfisz,1,box_of_cookie,nnfisz,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-ohhshb,1,box_of_cookie,ohhshb,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-qkzrdd,1,box_of_cookie,qkzrdd,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-sjcnoq,1,box_of_cookie,sjcnoq,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_cookie-swilxz,1,box_of_cookie,swilxz,box_of_cookies,#N/A,box__of__cookies.n.01,0,0
box_of_corn_flake-zbwzkq,1,box_of_corn_flake,zbwzkq,box_of_corn_flakes,#N/A,box__of__corn_flakes.n.01,0,0
box_of_granola_bar-awombj,1,box_of_granola_bar,awombj,box_of_granola_bars,#N/A,box__of__granola_bars.n.01,0,0
box_of_granola_bar-bqeeki,1,box_of_granola_bar,bqeeki,box_of_granola_bars,#N/A,box__of__granola_bars.n.01,0,0
box_of_granola_bar-tqwhvz,1,box_of_granola_bar,tqwhvz,box_of_granola_bars,#N/A,box__of__granola_bars.n.01,0,0
box_of_sanitary_napkin-acaivd,1,box_of_sanitary_napkin,acaivd,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-arqcyu,1,box_of_sanitary_napkin,arqcyu,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-cmnpuv,1,box_of_sanitary_napkin,cmnpuv,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-frdbld,1,box_of_sanitary_napkin,frdbld,tissue_dispenser,#N/A,tissue_dispenser.n.01,0,0
box_of_sanitary_napkin-humkqw,1,box_of_sanitary_napkin,humkqw,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-mxdefq,1,box_of_sanitary_napkin,mxdefq,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-skltgp,1,box_of_sanitary_napkin,skltgp,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-tkrzkb,1,box_of_sanitary_napkin,tkrzkb,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-ykpeja,1,box_of_sanitary_napkin,ykpeja,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_sanitary_napkin-zqinib,1,box_of_sanitary_napkin,zqinib,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0,0
box_of_tissue-ntbrtz,1,box_of_tissue,ntbrtz,box_of_tissues,#N/A,box__of__tissue.n.01,0,0
box_of_tissue-uglbjc,1,box_of_tissue,uglbjc,box_of_tissues,#N/A,box__of__tissue.n.01,0,0
box_of_tissue-xwstls,1,box_of_tissue,xwstls,box_of_tissues,#N/A,box__of__tissue.n.01,0,0
box_of_tissue-zutrxn,1,box_of_tissue,zutrxn,box_of_tissues,#N/A,box__of__tissue.n.01,0,0
butter-oixapu,1,butter,oixapu,box_of_butter,butter.n.01,box__of__butter.n.01,0,0
candy_box-gvreky,1,candy_box,gvreky,box_of_candy,#N/A,box__of__candy.n.01,0,0
canned_corn-pddtfk,1,canned_corn,pddtfk,can_of_corn,#N/A,can__of__corn.n.01,0,0
carrot_juice-jkuhio,1,carrot_juice,jkuhio,bottle_of_carrot_juice,#N/A,bottle__of__carrot_juice.n.01,0,0
carrot_juice-wmchsj,1,carrot_juice,wmchsj,bottle_of_carrot_juice,#N/A,bottle__of__carrot_juice.n.01,0,1
catsup-ahoiqe,1,catsup,ahoiqe,bottle_of_catsup,#N/A,bottle__of__catsup.n.01,0,0
catsup-dmyfdf,1,catsup,dmyfdf,bottle_of_catsup,#N/A,bottle__of__catsup.n.01,0,0
catsup-ialodu,1,catsup,ialodu,bottle_of_catsup,#N/A,bottle__of__catsup.n.01,0,0
ceiling_ac-hapein,1,ceiling_ac,hapein,ceiling_air_conditioner,#N/A,air_conditioner.n.01,0,0
ceiling-emjfnt,1,ceiling,emjfnt,ceilings,#N/A,ceiling.n.01,0,0
ceiling-fagehw,1,ceiling,fagehw,ceilings,#N/A,ceiling.n.01,0,0
cereal-hosfhj,1,cereal,hosfhj,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-ihedod,1,cereal,ihedod,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-pfwgkm,1,cereal,pfwgkm,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-qirvmd,1,cereal,qirvmd,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-sgirte,1,cereal,sgirte,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-wdkcbu,1,cereal,wdkcbu,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-wrlalk,1,cereal,wrlalk,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-ykuyqb,1,cereal,ykuyqb,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
cereal-yorray,1,cereal,yorray,box_of_cereal,#N/A,box__of__cereal.n.01,0,0
champagne_bottle-ahpwlg,1,champagne_bottle,ahpwlg,bottle_of_champagne,#N/A,bottle__of__champagne.n.01,0,0
champagne_bottle-pxaayf,1,champagne_bottle,pxaayf,bottle_of_champagne,#N/A,bottle__of__champagne.n.01,0,0
chip-bryahw,1,chip,bryahw,bag_of_chips,chip.n.04,bag__of__chips.n.01,0,0
chip-dwkdko,1,chip,dwkdko,bag_of_chips,chip.n.04,bag__of__chips.n.01,0,0
chip-ennnjj,1,chip,ennnjj,bag_of_chips,chip.n.04,bag__of__chips.n.01,0,0
chip-jphwer,1,chip,jphwer,bag_of_chips,chip.n.04,bag__of__chips.n.01,0,0
chip-uevvib,1,chip,uevvib,bag_of_chips,chip.n.04,bag__of__chips.n.01,0,0
chip-wnuoym,1,chip,wnuoym,bag_of_chips,chip.n.04,bag__of__chips.n.01,0,0
chocolate_bar-bxgewr,1,chocolate_bar,bxgewr,pack_of_chocolate_bar,chocolate_bar.n.01,pack__of__chocolate_bar.n.01,0,0
