synset,property,gpt3_answer,human_review,require_coldsource_temperature,value(C),source,comment,requires_toggled_on,requires_closed,requires_inside
ginger_ale.n.01,liquid,1,1,FALSE,,,,,,
ginger_ale.n.01,heatSource,0,0,FALSE,,,,,,
ginger_ale.n.01,fireSource,0,0,FALSE,,,,,,
ginger_ale.n.01,cookable,0,0,FALSE,,,,,,
ginger_ale.n.01,coldSource,0,0,FALSE,,,,,,
ginger_ale.n.01,sliceable,0,0,FALSE,,,,,,
ginger_ale.n.01,slicer,1,0,FALSE,,,,,,
ginger_ale.n.01,soakable,0,0,FALSE,,,,,,
floor.n.01,liquid,0,0,FALSE,,,,,,
floor.n.01,heatSource,0,0,FALSE,,,,,,
floor.n.01,fireSource,0,0,FALSE,,,,,,
floor.n.01,cookable,0,0,FALSE,,,,,,
floor.n.01,coldSource,0,0,FALSE,,,,,,
floor.n.01,sliceable,0,0,FALSE,,,,,,
floor.n.01,slicer,0,0,FALSE,,,,,,
floor.n.01,soakable,0,0,FALSE,,,,,,
armchair.n.01,liquid,0,0,FALSE,,,,,,
armchair.n.01,heatSource,0,0,FALSE,,,,,,
armchair.n.01,fireSource,0,0,FALSE,,,,,,
armchair.n.01,cookable,0,0,FALSE,,,,,,
armchair.n.01,coldSource,0,0,FALSE,,,,,,
armchair.n.01,sliceable,0,0,FALSE,,,,,,
armchair.n.01,slicer,1,0,FALSE,,,,,,
armchair.n.01,soakable,0,0,FALSE,,,,,,
basket.n.01,liquid,0,0,FALSE,,,,,,
basket.n.01,heatSource,0,0,FALSE,,,,,,
basket.n.01,fireSource,0,0,FALSE,,,,,,
basket.n.01,cookable,0,0,FALSE,,,,,,
basket.n.01,coldSource,0,0,FALSE,,,,,,
basket.n.01,sliceable,0,0,FALSE,,,,,,
basket.n.01,slicer,1,0,FALSE,,,,,,
basket.n.01,soakable,1,0,FALSE,,,,,,
bathtub.n.01,liquid,1,0,FALSE,,,,,,
bathtub.n.01,heatSource,0,0,FALSE,,,,,,
bathtub.n.01,fireSource,0,0,FALSE,,,,,,
bathtub.n.01,cookable,0,0,FALSE,,,,,,
bathtub.n.01,coldSource,1,0,FALSE,,,,,,
bathtub.n.01,sliceable,0,0,FALSE,,,,,,
bathtub.n.01,slicer,0,0,FALSE,,,,,,
bathtub.n.01,soakable,0,0,FALSE,,,,,,
bed.n.01,liquid,0,0,FALSE,,,,,,
bed.n.01,heatSource,0,0,FALSE,,,,,,
bed.n.01,fireSource,0,0,FALSE,,,,,,
bed.n.01,cookable,0,0,FALSE,,,,,,
bed.n.01,coldSource,0,0,FALSE,,,,,,
bed.n.01,sliceable,0,0,FALSE,,,,,,
bed.n.01,slicer,0,0,FALSE,,,,,,
bed.n.01,soakable,1,0,FALSE,,,,,,
bench.n.01,liquid,0,0,FALSE,,,,,,
bench.n.01,heatSource,0,0,FALSE,,,,,,
bench.n.01,fireSource,0,0,FALSE,,,,,,
bench.n.01,cookable,0,0,FALSE,,,,,,
bench.n.01,coldSource,0,0,FALSE,,,,,,
bench.n.01,sliceable,0,0,FALSE,,,,,,
bench.n.01,slicer,0,0,FALSE,,,,,,
bench.n.01,soakable,1,0,FALSE,,,,,,
cabinet.n.01,liquid,0,0,FALSE,,,,,,
cabinet.n.01,heatSource,0,0,FALSE,,,,,,
cabinet.n.01,fireSource,0,0,FALSE,,,,,,
cabinet.n.01,cookable,0,0,FALSE,,,,,,
cabinet.n.01,coldSource,0,0,FALSE,,,,,,
cabinet.n.01,sliceable,0,0,FALSE,,,,,,
cabinet.n.01,slicer,1,0,FALSE,,,,,,
cabinet.n.01,soakable,0,0,FALSE,,,,,,
breakfast_table.n.01,liquid,0,0,FALSE,,,,,,
breakfast_table.n.01,heatSource,0,0,FALSE,,,,,,
breakfast_table.n.01,fireSource,0,0,FALSE,,,,,,
breakfast_table.n.01,cookable,0,0,FALSE,,,,,,
breakfast_table.n.01,coldSource,0,0,FALSE,,,,,,
breakfast_table.n.01,sliceable,0,0,FALSE,,,,,,
breakfast_table.n.01,slicer,0,0,FALSE,,,,,,
breakfast_table.n.01,soakable,0,0,FALSE,,,,,,
burner.n.02,liquid,0,0,FALSE,,,,,,
burner.n.02,heatSource,1,1,FALSE,,,,,,
burner.n.02,fireSource,0,0,FALSE,,,,,,
burner.n.02,cookable,0,0,FALSE,,,,,,
burner.n.02,coldSource,0,0,FALSE,,,,,,
burner.n.02,sliceable,0,0,FALSE,,,,,,
burner.n.02,slicer,1,0,FALSE,,,,,,
burner.n.02,soakable,0,0,FALSE,,,,,,
rug.n.01,liquid,0,0,FALSE,,,,,,
rug.n.01,heatSource,0,0,FALSE,,,,,,
rug.n.01,fireSource,0,0,FALSE,,,,,,
rug.n.01,cookable,0,0,FALSE,,,,,,
rug.n.01,coldSource,0,0,FALSE,,,,,,
rug.n.01,sliceable,0,0,FALSE,,,,,,
rug.n.01,slicer,0,0,FALSE,,,,,,
rug.n.01,soakable,0,1,FALSE,,,,,,
chaise_longue.n.01,liquid,0,0,FALSE,,,,,,
chaise_longue.n.01,heatSource,0,0,FALSE,,,,,,
chaise_longue.n.01,fireSource,0,0,FALSE,,,,,,
chaise_longue.n.01,cookable,0,0,FALSE,,,,,,
chaise_longue.n.01,coldSource,0,0,FALSE,,,,,,
chaise_longue.n.01,sliceable,0,0,FALSE,,,,,,
chaise_longue.n.01,slicer,0,0,FALSE,,,,,,
chaise_longue.n.01,soakable,0,0,FALSE,,,,,,
chest.n.02,liquid,0,0,FALSE,,,,,,
chest.n.02,heatSource,0,0,FALSE,,,,,,
chest.n.02,fireSource,0,0,FALSE,,,,,,
chest.n.02,cookable,0,0,FALSE,,,,,,
chest.n.02,coldSource,0,0,FALSE,,,,,,
chest.n.02,sliceable,0,0,FALSE,,,,,,
chest.n.02,slicer,1,0,FALSE,,,,,,
chest.n.02,soakable,0,0,FALSE,,,,,,
coffee_maker.n.01,liquid,0,0,FALSE,,,,,,
coffee_maker.n.01,heatSource,0,1,FALSE,,,,,,
coffee_maker.n.01,fireSource,0,0,FALSE,,,,,,
coffee_maker.n.01,cookable,0,0,FALSE,,,,,,
coffee_maker.n.01,coldSource,0,0,FALSE,,,,,,
coffee_maker.n.01,sliceable,0,0,FALSE,,,,,,
coffee_maker.n.01,slicer,1,0,FALSE,,,,,,
coffee_maker.n.01,soakable,0,0,FALSE,,,,,,
coffee_table.n.01,liquid,0,0,FALSE,,,,,,
coffee_table.n.01,heatSource,0,0,FALSE,,,,,,
coffee_table.n.01,fireSource,0,0,FALSE,,,,,,
coffee_table.n.01,cookable,0,0,FALSE,,,,,,
coffee_table.n.01,coldSource,0,0,FALSE,,,,,,
coffee_table.n.01,sliceable,0,0,FALSE,,,,,,
coffee_table.n.01,slicer,0,0,FALSE,,,,,,
coffee_table.n.01,soakable,0,0,FALSE,,,,,,
console_table.n.01,liquid,0,0,FALSE,,,,,,
console_table.n.01,heatSource,0,0,FALSE,,,,,,
console_table.n.01,fireSource,0,0,FALSE,,,,,,
console_table.n.01,cookable,0,0,FALSE,,,,,,
console_table.n.01,coldSource,0,0,FALSE,,,,,,
console_table.n.01,sliceable,0,0,FALSE,,,,,,
console_table.n.01,slicer,1,0,FALSE,,,,,,
console_table.n.01,soakable,0,0,FALSE,,,,,,
countertop.n.01,liquid,0,0,FALSE,,,,,,
countertop.n.01,heatSource,0,0,FALSE,,,,,,
countertop.n.01,fireSource,0,0,FALSE,,,,,,
countertop.n.01,cookable,0,0,FALSE,,,,,,
countertop.n.01,coldSource,0,0,FALSE,,,,,,
countertop.n.01,sliceable,0,0,FALSE,,,,,,
countertop.n.01,slicer,1,0,FALSE,,,,,,
countertop.n.01,soakable,0,0,FALSE,,,,,,
crib.n.01,liquid,0,0,FALSE,,,,,,
crib.n.01,heatSource,0,0,FALSE,,,,,,
crib.n.01,fireSource,0,0,FALSE,,,,,,
crib.n.01,cookable,0,0,FALSE,,,,,,
crib.n.01,coldSource,0,0,FALSE,,,,,,
crib.n.01,sliceable,0,0,FALSE,,,,,,
crib.n.01,slicer,1,0,FALSE,,,,,,
crib.n.01,soakable,0,0,FALSE,,,,,,
desk.n.01,liquid,0,0,FALSE,,,,,,
desk.n.01,heatSource,0,0,FALSE,,,,,,
desk.n.01,fireSource,0,0,FALSE,,,,,,
desk.n.01,cookable,0,0,FALSE,,,,,,
desk.n.01,coldSource,0,0,FALSE,,,,,,
desk.n.01,sliceable,0,0,FALSE,,,,,,
desk.n.01,slicer,0,0,FALSE,,,,,,
desk.n.01,soakable,0,0,FALSE,,,,,,
dishwasher.n.01,liquid,0,0,FALSE,,,,,,
dishwasher.n.01,heatSource,0,0,FALSE,,,,,,
dishwasher.n.01,fireSource,0,0,FALSE,,,,,,
dishwasher.n.01,cookable,0,0,FALSE,,,,,,
dishwasher.n.01,coldSource,0,0,FALSE,,,,,,
dishwasher.n.01,sliceable,0,0,FALSE,,,,,,
dishwasher.n.01,slicer,1,0,FALSE,,,,,,
dishwasher.n.01,soakable,0,0,FALSE,,,,,,
door.n.01,liquid,0,0,FALSE,,,,,,
door.n.01,heatSource,0,0,FALSE,,,,,,
door.n.01,fireSource,0,0,FALSE,,,,,,
door.n.01,cookable,0,0,FALSE,,,,,,
door.n.01,coldSource,0,0,FALSE,,,,,,
door.n.01,sliceable,0,0,FALSE,,,,,,
door.n.01,slicer,1,0,FALSE,,,,,,
door.n.01,soakable,0,0,FALSE,,,,,,
dryer.n.01,liquid,0,0,FALSE,,,,,,
dryer.n.01,heatSource,0,0,FALSE,,,,,,
dryer.n.01,fireSource,0,0,FALSE,,,,,,
dryer.n.01,cookable,0,0,FALSE,,,,,,
dryer.n.01,coldSource,0,0,FALSE,,,,,,
dryer.n.01,sliceable,0,0,FALSE,,,,,,
dryer.n.01,slicer,1,0,FALSE,,,,,,
dryer.n.01,soakable,0,0,FALSE,,,,,,
floor_lamp.n.01,liquid,0,0,FALSE,,,,,,
floor_lamp.n.01,heatSource,0,0,FALSE,,,,,,
floor_lamp.n.01,fireSource,0,0,FALSE,,,,,,
floor_lamp.n.01,cookable,0,0,FALSE,,,,,,
floor_lamp.n.01,coldSource,0,0,FALSE,,,,,,
floor_lamp.n.01,sliceable,0,0,FALSE,,,,,,
floor_lamp.n.01,slicer,0,0,FALSE,,,,,,
floor_lamp.n.01,soakable,0,0,FALSE,,,,,,
folding_chair.n.01,liquid,0,0,FALSE,,,,,,
folding_chair.n.01,heatSource,0,0,FALSE,,,,,,
folding_chair.n.01,fireSource,0,0,FALSE,,,,,,
folding_chair.n.01,cookable,0,0,FALSE,,,,,,
folding_chair.n.01,coldSource,0,0,FALSE,,,,,,
folding_chair.n.01,sliceable,0,0,FALSE,,,,,,
folding_chair.n.01,slicer,1,0,FALSE,,,,,,
folding_chair.n.01,soakable,1,0,FALSE,,,,,,
electric_refrigerator.n.01,liquid,0,0,FALSE,,,,,,
electric_refrigerator.n.01,heatSource,0,0,FALSE,,,,,,
electric_refrigerator.n.01,fireSource,0,0,FALSE,,,,,,
electric_refrigerator.n.01,cookable,1,0,FALSE,,,,,,
electric_refrigerator.n.01,coldSource,0,1,TRUE,1.7,"https://www.realsimple.com/food-recipes/shopping-storing/food/refrigerator-temperature#:~:text=The%20U.S.%20Food%20and%20Drug,1.7%20to%203.3%C2%B0C).",,0,1,1
electric_refrigerator.n.01,sliceable,0,0,FALSE,,,,,,
electric_refrigerator.n.01,slicer,1,0,FALSE,,,,,,
electric_refrigerator.n.01,soakable,0,0,FALSE,,,,,,
gaming_table.n.01,liquid,0,0,FALSE,,,,,,
gaming_table.n.01,heatSource,0,0,FALSE,,,,,,
gaming_table.n.01,fireSource,0,0,FALSE,,,,,,
gaming_table.n.01,cookable,0,0,FALSE,,,,,,
gaming_table.n.01,coldSource,0,0,FALSE,,,,,,
