synset,cook_temperature,substance_cooking_derivative_synset
apple.n.01,58,
apricot.n.02,58,
artichoke.n.02,58,
banana.n.02,58,
beet.n.02,58,
bell_pepper.n.02,58,
broccoli.n.02,58,
carrot.n.03,91,
casserole.n.02,74,
catsup.n.01,74,cooked__catsup.n.01
cherry.n.03,58,
chestnut.n.03,58,
chives.n.01,58,
clove.n.03,58,
coconut.n.01,58,cooked__coconut.n.01
cucumber.n.02,58,
egg.n.02,68,
eggplant.n.01,58,
flour.n.01,71,cooked__flour.n.01
grape.n.01,58,
kiwi.n.03,58,
lemon.n.01,58,
mushroom.n.05,58,
orange.n.01,58,
peach.n.03,58,
pear.n.01,58,
pineapple.n.02,58,
plum.n.02,58,
strawberry.n.01,58,
vidalia_onion.n.01,58,
head_cabbage.n.02,58,
lettuce.n.03,58,
olive.n.04,58,
olive_oil.n.01,190,cooked__olive_oil.n.01
parsley.n.02,58,
pea.n.01,58,cooked__pea.n.01
pistachio.n.02,58,cooked__pistachio.n.01
potato.n.01,98,
pumpkin.n.02,58,
radish.n.01,58,
raspberry.n.02,58,
hip.n.05,58,
spinach.n.02,58,
sweet_corn.n.02,58,
walnut.n.01,58,
watermelon.n.02,58,
yogurt.n.01,37,cooked__yogurt.n.01
zucchini.n.02,58,
water.n.06,100,cooked__water.n.01
chili.n.02,74,
hamburger.n.01,71,
date.n.08,58,
sushi.n.01,71,
cranberry.n.02,58,cooked__cranberry.n.01
salad.n.01,58,
salt.n.02,100,cooked__salt.n.01
beer.n.01,37,cooked__beer.n.01
pork.n.01,63,
rib.n.03,63,
steak.n.01,63,
crab.n.05,63,
fillet.n.02,63,
muffin.n.01,93,
cinnamon.n.03,58,cooked__cinnamon.n.01
lime.n.06,58,
ginger.n.02,58,cooked__ginger.n.01
almond.n.02,163,cooked__almond.n.01
jam.n.01,100,cooked__jam.n.01
bagel.n.01,190,
baguet.n.01,177,
basil.n.03,58,
celery.n.02,58,
green_onion.n.01,58,
guacamole.n.01,58,cooked__guacamole.n.01
lasagna.n.01,74,
mayonnaise.n.01,58,cooked__mayonnaise.n.01
prosciutto.n.01,71,
vinegar.n.01,37,cooked__vinegar.n.01
gingerbread.n.01,175,
tea_bag.n.01,100,
pastry.n.01,204,
toast.n.01,177,
duck.n.03,74,
gravy.n.01,37,cooked__gravy.n.01
coriander.n.03,58,
marinade.n.01,37,cooked__marinade.n.01
nutmeg.n.02,58,cooked__nutmeg.n.01
asparagus.n.02,58,
blueberry.n.02,58,cooked__blueberry.n.01
cumin.n.02,58,cooked__cumin.n.01
avocado.n.01,58,
bone.n.01,218,
cornstarch.n.01,90,cooked__cornstarch.n.01
noodle.n.01,100,cooked__noodle.n.01
kale.n.03,58,
paprika.n.02,58,cooked__paprika.n.01
pizza.n.01,246,
mint.n.04,50,
ginger.n.03,58,
mustard.n.02,58,cooked__mustard.n.01
soy_sauce.n.01,37,cooked__soy_sauce.n.01
vanilla.n.02,37,cooked__vanilla.n.01
maple_syrup.n.01,37,cooked__maple_syrup.n.01
thyme.n.02,58,cooked__thyme.n.01
turkey.n.04,82,
pie_crust.n.01,200,
