synset,uncooked_diceable_derivative_synset,cooked_diceable_derivative_synset
half__agave.n.01,diced__agave.n.01,
half__antipasto.n.01,diced__antipasto.n.01,cooked__diced__antipasto.n.01
half__apple.n.01,diced__apple.n.01,cooked__diced__apple.n.01
half__apricot.n.01,diced__apricot.n.01,cooked__diced__apricot.n.01
half__arepa.n.01,diced__arepa.n.01,cooked__diced__arepa.n.01
half__artichoke.n.01,diced__artichoke.n.01,cooked__diced__artichoke.n.01
half__arugula.n.01,diced__arugula.n.01,cooked__diced__arugula.n.01
half__asparagus.n.01,diced__asparagus.n.01,cooked__diced__asparagus.n.01
half__auricularia.n.01,diced__auricularia.n.01,cooked__diced__auricularia.n.01
half__avocado.n.01,diced__avocado.n.01,cooked__diced__avocado.n.01
half__bacon.n.01,diced__bacon.n.01,cooked__diced__bacon.n.01
half__bagel.n.01,diced__bagel.n.01,cooked__diced__bagel.n.01
half__bagel_dough.n.01,diced__bagel_dough.n.01,cooked__diced__bagel_dough.n.01
half__baguet.n.01,diced__baguet.n.01,cooked__diced__baguet.n.01
half__bamboo.n.01,diced__bamboo.n.01,
half__banana.n.01,diced__banana.n.01,cooked__diced__banana.n.01
half__banana_bread.n.01,diced__banana_bread.n.01,cooked__diced__banana_bread.n.01
half__bay_leaf.n.01,diced__bay_leaf.n.01,cooked__diced__bay_leaf.n.01
half__bean_curd.n.01,diced__bean_curd.n.01,cooked__diced__bean_curd.n.01
half__beefsteak_tomato.n.01,diced__beefsteak_tomato.n.01,cooked__diced__beefsteak_tomato.n.01
half__beet.n.01,diced__beet.n.01,cooked__diced__beet.n.01
half__bell_pepper.n.01,diced__bell_pepper.n.01,cooked__diced__bell_pepper.n.01
half__biscuit_dough.n.01,diced__biscuit_dough.n.01,cooked__diced__biscuit_dough.n.01
half__blackberry.n.01,diced__blackberry.n.01,cooked__diced__blackberry.n.01
half__bleu.n.01,diced__bleu.n.01,
half__bok_choy.n.01,diced__bok_choy.n.01,cooked__diced__bok_choy.n.01
half__branch.n.01,diced__branch.n.01,
half__bratwurst.n.01,diced__bratwurst.n.01,cooked__diced__bratwurst.n.01
half__brisket.n.01,diced__brisket.n.01,cooked__diced__brisket.n.01
half__broccoli.n.01,diced__broccoli.n.01,cooked__diced__broccoli.n.01
half__broccoli_rabe.n.01,diced__broccoli_rabe.n.01,cooked__diced__broccoli_rabe.n.01
half__broccolini.n.01,diced__broccolini.n.01,cooked__diced__broccolini.n.01
half__brownie.n.01,diced__brownie.n.01,cooked__diced__brownie.n.01
half__brussels_sprouts.n.01,diced__brussels_sprouts.n.01,cooked__diced__brussels_sprouts.n.01
half__burrito.n.01,diced__burrito.n.01,cooked__diced__burrito.n.01
half__butter.n.01,diced__butter.n.01,
half__butter_cookie.n.01,diced__butter_cookie.n.01,cooked__diced__butter_cookie.n.01
half__buttermilk_pancake.n.01,diced__buttermilk_pancake.n.01,cooked__diced__buttermilk_pancake.n.01
half__butternut_squash.n.01,diced__butternut_squash.n.01,cooked__diced__butternut_squash.n.01
half__cantaloup.n.01,diced__cantaloup.n.01,cooked__diced__cantaloup.n.01
half__carne_asada.n.01,diced__carne_asada.n.01,cooked__diced__carne_asada.n.01
half__cauliflower.n.01,diced__cauliflower.n.01,cooked__diced__cauliflower.n.01
half__celery.n.01,diced__celery.n.01,cooked__diced__celery.n.01
half__chanterelle.n.01,diced__chanterelle.n.01,cooked__diced__chanterelle.n.01
half__chard.n.01,diced__chard.n.01,cooked__diced__chard.n.01
half__cheddar.n.01,diced__cheddar.n.01,
half__cheese_tart.n.01,diced__cheese_tart.n.01,cooked__diced__cheese_tart.n.01
