synset,meltable_derivative_synset
bleu.n.01,melted__bleu.n.01
cane_sugar.n.02,melted__cane_sugar.n.01
cheddar.n.02,melted__cheddar.n.01
chocolate_bar.n.01,melted__chocolate.n.01
chocolate_kiss.n.01,melted__chocolate.n.01
diced__bleu.n.01,melted__bleu.n.01
diced__cheddar.n.01,melted__cheddar.n.01
diced__feta.n.01,melted__feta.n.01
diced__mozzarella.n.01,melted__mozzarella.n.01
diced__swiss_cheese.n.01,melted__swiss_cheese.n.01
granulated_sugar.n.01,melted__granulated_sugar.n.01
half__bleu.n.01,melted__bleu.n.01
half__cheddar.n.01,melted__cheddar.n.01
half__feta.n.01,melted__feta.n.01
half__mozzarella.n.01,melted__mozzarella.n.01
half__swiss_cheese.n.01,melted__swiss_cheese.n.01
ice_cube.n.01,water.n.06
kiss.n.03,melted__chocolate.n.01
lump_sugar.n.01,melted__granulated_sugar.n.01
mozzarella.n.01,melted__mozzarella.n.01
swiss_cheese.n.01,melted__swiss_cheese.n.01
white_chocolate.n.01,melted__white_chocolate.n.01
butter.n.01,melted__butter.n.01
half__butter.n.01,melted__butter.n.01
diced__butter.n.01,melted__butter.n.01
grated_cheese.n.01,melted__grated_cheese.n.01
parmesan.n.01,melted__parmesan.n.01
