synset,method,conditions,system
acetone__atomizer.n.01,projection,toggled_on:True,acetone.n.01
allspice__shaker.n.01,projection,toggled_on:True;gravity:True,allspice.n.03
ammonia_water__atomizer.n.01,projection,toggled_on:True,ammonia_water.n.01
bleaching_agent__atomizer.n.01,projection,toggled_on:True,bleaching_agent.n.01
cayenne__shaker.n.01,projection,toggled_on:True;gravity:True,cayenne.n.02
cinnamon__shaker.n.01,projection,toggled_on:True;gravity:True,cinnamon.n.03
conditioner__atomizer.n.01,projection,toggled_on:True,conditioner.n.03
conditioner__dispenser.n.01,projection,toggled_on:True,conditioner.n.03
coriander__shaker.n.01,projection,toggled_on:True;gravity:True,coriander.n.02
cream_of_tartar__shaker.n.01,projection,toggled_on:True;gravity:True,cream_of_tartar.n.01
cumin__shaker.n.01,projection,toggled_on:True;gravity:True,cumin.n.02
curry_powder__shaker.n.01,projection,toggled_on:True;gravity:True,curry_powder.n.01
detergent__atomizer.n.01,projection,toggled_on:True,detergent.n.02
drink__dispenser.n.01,projection,toggled_on:True,water.n.06
fertilizer__atomizer.n.01,projection,toggled_on:True,fertilizer.n.01
ginger__shaker.n.01,projection,toggled_on:True;gravity:True,ginger.n.02
insectifuge__atomizer.n.01,projection,toggled_on:True,insectifuge.n.01
isopropanol__dispenser.n.01,projection,toggled_on:True,isopropyl_alcohol.n.01
jam__dispenser.n.01,projection,toggled_on:True,jam.n.01
lemon-pepper_seasoning__shaker.n.01,projection,toggled_on:True;gravity:True,lemon-pepper_seasoning.n.01
marjoram__shaker.n.01,projection,toggled_on:True;gravity:True,marjoram.n.02
mustard_seed__shaker.n.01,projection,toggled_on:True;gravity:True,mustard_seed.n.01
nutmeg__shaker.n.01,projection,toggled_on:True;gravity:True,nutmeg.n.02
onion_powder__shaker.n.01,projection,toggled_on:True;gravity:True,onion_powder.n.01
paprika__shaker.n.01,projection,toggled_on:True;gravity:True,paprika.n.02
parmesan__shaker.n.01,projection,toggled_on:True;gravity:True,parmesan.n.01
pepper__shaker.n.01,projection,toggled_on:True;gravity:True,black_pepper.n.02
pepper_mill.n.01,projection,toggled_on:True,black_pepper.n.02
pesticide__atomizer.n.01,projection,toggled_on:True,pesticide.n.01
rosemary__shaker.n.01,projection,toggled_on:True;gravity:True,rosemary.n.02
rubbing_alcohol__atomizer.n.01,projection,toggled_on:True,rubbing_alcohol.n.01
saffron__shaker.n.01,projection,toggled_on:True;gravity:True,saffron.n.02
sage__shaker.n.01,projection,toggled_on:True;gravity:True,sage.n.02
salt__shaker.n.01,projection,toggled_on:True;gravity:True,salt.n.02
sealant__atomizer.n.01,projection,toggled_on:True,sealant.n.01
sesame_seed__shaker.n.01,projection,toggled_on:True;gravity:True,sesame_seed.n.01
shampoo__dispenser.n.01,projection,toggled_on:True,shampoo.n.01
spray_paint__can.n.01,projection,toggled_on:True,spray_paint.n.01
thyme__shaker.n.01,projection,toggled_on:True;gravity:True,thyme.n.02
vinegar__atomizer.n.01,projection,toggled_on:True,vinegar.n.01
water__atomizer.n.01,projection,toggled_on:True,water.n.06
whipped_cream__atomizer.n.01,projection,toggled_on:True;gravity:True,whipped_cream.n.01
whipped_cream__can.n.01,projection,toggled_on:True,whipped_cream.n.01
yeast__shaker.n.01,projection,toggled_on:True;gravity:True,yeast.n.01
cooking_oil__atomizer.n.01,projection,toggled_on:True,cooking_oil.n.01
