synset,sliceable_derivative_synset
agave.n.01,half__agave.n.01
antipasto.n.01,half__antipasto.n.01
apple.n.01,half__apple.n.01
apple_pie.n.01,half__apple_pie.n.01
apricot.n.02,half__apricot.n.01
arepa.n.01,half__arepa.n.01
artichoke.n.02,half__artichoke.n.01
arugula.n.02,half__arugula.n.01
asparagus.n.02,half__asparagus.n.01
auricularia.n.01,half__auricularia.n.01
avocado.n.01,half__avocado.n.01
bacon.n.01,half__bacon.n.01
bagel.n.01,half__bagel.n.01
bagel_dough.n.01,half__bagel_dough.n.01
baguet.n.01,half__baguet.n.01
bamboo.n.01,half__bamboo.n.01
banana.n.02,half__banana.n.01
banana_bread.n.01,half__banana_bread.n.01
bay_leaf.n.01,half__bay_leaf.n.01
bean_curd.n.01,half__bean_curd.n.01
beefsteak_tomato.n.01,half__beefsteak_tomato.n.01
beet.n.02,half__beet.n.01
bell_pepper.n.02,half__bell_pepper.n.01
biscuit_dough.n.01,half__biscuit_dough.n.01
blackberry.n.01,half__blackberry.n.01
bleu.n.01,half__bleu.n.01
bok_choy.n.02,half__bok_choy.n.01
branch.n.02,half__branch.n.01
bratwurst.n.01,half__bratwurst.n.01
brisket.n.01,half__brisket.n.01
broccoli.n.02,half__broccoli.n.01
broccoli_rabe.n.02,half__broccoli_rabe.n.01
broccolini.n.01,half__broccolini.n.01
brownie.n.03,half__brownie.n.01
brussels_sprouts.n.01,half__brussels_sprouts.n.01
burrito.n.01,half__burrito.n.01
butter.n.01,half__butter.n.01
butter_cookie.n.01,half__butter_cookie.n.01
buttermilk_pancake.n.01,half__buttermilk_pancake.n.01
butternut_squash.n.02,half__butternut_squash.n.01
cantaloup.n.02,half__cantaloup.n.01
card.n.04,half__card.n.01
carne_asada.n.01,half__carne_asada.n.01
cauliflower.n.02,half__cauliflower.n.01
celery.n.02,half__celery.n.01
chanterelle.n.01,half__chanterelle.n.01
chard.n.02,half__chard.n.01
cheddar.n.02,half__cheddar.n.01
cheese_tart.n.01,half__cheese_tart.n.01
cheesecake.n.01,half__cheesecake.n.01
cherry.n.03,half__cherry.n.01
cherry_tomato.n.02,half__cherry_tomato.n.01
chicken.n.01,half__chicken.n.01
chicken_breast.n.02,half__chicken_breast.n.01
chicken_leg.n.01,half__chicken_leg.n.01
chicken_tender.n.01,half__chicken_tender.n.01
chicken_wing.n.01,half__chicken_wing.n.01
chili.n.02,half__chili.n.01
chives.n.01,half__chives.n.01
chocolate_biscuit.n.01,half__chocolate_biscuit.n.01
chocolate_cake.n.01,half__chocolate_cake.n.01
chocolate_chip_cookie.n.01,half__chocolate_chip_cookie.n.01
chocolate_cookie_dough.n.01,half__chocolate_cookie_dough.n.01
chorizo.n.01,half__chorizo.n.01
cinnamon_roll.n.01,half__cinnamon_roll.n.01
club_sandwich.n.01,half__club_sandwich.n.01
coconut.n.02,half__coconut.n.01
cod.n.02,half__cod.n.01
cold_cuts.n.01,half__cold_cuts.n.01
crab.n.05,half__crab.n.01
crayfish.n.02,half__crayfish.n.01
crescent_roll.n.01,half__crescent_roll.n.01
cucumber.n.02,half__cucumber.n.01
cupcake.n.01,half__cupcake.n.01
danish.n.02,half__danish.n.01
date.n.08,half__date.n.01
doughnut.n.02,half__doughnut.n.01
dried_apricot.n.01,half__dried_apricot.n.01
duck.n.03,half__duck.n.01
dumpling.n.02,half__dumpling.n.01
durian.n.02,half__durian.n.01
edible_cookie_dough.n.01,half__edible_cookie_dough.n.01
eggplant.n.01,half__eggplant.n.01
enchilada.n.01,half__enchilada.n.01
entire_leaf.n.01,half__entire_leaf.n.01
fennel.n.02,half__fennel.n.01
feta.n.01,half__feta.n.01
fillet.n.02,half__fillet.n.01
frank.n.02,half__frank.n.01
frankfurter_bun.n.01,half__frankfurter_bun.n.01
french_fries.n.02,half__french_fries.n.01
french_toast.n.01,half__french_toast.n.01
fruitcake.n.02,half__fruitcake.n.01
garlic_bread.n.01,half__garlic_bread.n.01
gelatin.n.02,half__gelatin.n.01
ginger.n.03,half__ginger.n.01
gingerbread.n.01,half__gingerbread.n.01
gooseberry.n.02,half__gooseberry.n.01
gourd.n.02,half__gourd.n.01
granola_bar.n.01,half__granola_bar.n.01
grapefruit.n.02,half__grapefruit.n.01
green_bean.n.01,half__green_bean.n.01
green_onion.n.01,half__green_onion.n.01
grouper.n.01,half__grouper.n.01
halibut.n.01,half__halibut.n.01
ham_hock.n.01,half__ham_hock.n.01
hamburger.n.01,half__hamburger.n.01
hamburger_bun.n.01,half__hamburger_bun.n.01
hard-boiled_egg.n.01,half__hard-boiled_egg.n.01
hazelnut.n.02,half__hazelnut.n.01
head_cabbage.n.02,half__head_cabbage.n.01
hemp.n.01,half__hemp.n.01
hip.n.05,half__hip.n.01
hotdog.n.02,half__hotdog.n.01
huitre.n.01,half__huitre.n.01
kabob.n.01,half__kabob.n.01
kale.n.03,half__kale.n.01
kielbasa.n.01,half__kielbasa.n.01
kiwi.n.03,half__kiwi.n.01
lamb.n.05,half__lamb.n.01
leek.n.02,half__leek.n.01
lemon.n.01,half__lemon.n.01
lemon_peel.n.01,half__lemon_peel.n.01
lettuce.n.03,half__lettuce.n.01
lime.n.06,half__lime.n.01
lobster.n.01,half__lobster.n.01
log.n.01,half__log.n.01
macaroon.n.01,half__macaroon.n.01
mango.n.02,half__mango.n.01
marshmallow.n.01,half__marshmallow.n.01
meat_loaf.n.01,half__meat_loaf.n.01
meatball.n.01,half__meatball.n.01
mozzarella.n.01,half__mozzarella.n.01
muffin.n.01,half__muffin.n.01
mushroom.n.05,half__mushroom.n.01
mustard.n.03,half__mustard.n.01
nectarine.n.02,half__nectarine.n.01
olive.n.04,half__olive.n.01
omelet.n.01,half__omelet.n.01
orange.n.01,half__orange.n.01
oxtail.n.01,half__oxtail.n.01
papaya.n.02,half__papaya.n.01
parsley.n.02,half__parsley.n.01
parsnip.n.03,half__parsnip.n.01
pastry.n.01,half__pastry.n.01
peach.n.03,half__peach.n.01
pear.n.01,half__pear.n.01
peppermint.n.03,half__peppermint.n.01
pepperoni.n.01,half__pepperoni.n.01
pickle.n.01,half__pickle.n.01
pie_crust.n.01,half__pie_crust.n.01
pieplant.n.01,half__pieplant.n.01
pineapple.n.02,half__pineapple.n.01
pita.n.01,half__pita.n.01
pizza.n.01,half__pizza.n.01
pizza_dough.n.01,half__pizza_dough.n.01
plum.n.02,half__plum.n.01
pork.n.01,half__pork.n.01
porkchop.n.01,half__porkchop.n.01
potato.n.01,half__potato.n.01
potato_pancake.n.01,half__potato_pancake.n.01
prawn.n.01,half__prawn.n.01
pretzel.n.01,half__pretzel.n.01
prosciutto.n.01,half__prosciutto.n.01
pumpkin.n.02,half__pumpkin.n.01
quail.n.01,half__quail.n.01
quiche.n.02,half__quiche.n.01
radish.n.01,half__radish.n.01
ramen.n.01,half__ramen.n.01
rib.n.03,half__rib.n.01
rope.n.01,half__rope.n.01
rutabaga.n.01,half__rutabaga.n.01
salmon.n.03,half__salmon.n.01
scone.n.01,half__scone.n.01
shiitake.n.01,half__shiitake.n.01
sirloin.n.01,half__sirloin.n.01
snapper.n.02,half__snapper.n.01
sour_bread.n.01,half__sour_bread.n.01
spice_cookie.n.01,half__spice_cookie.n.01
spice_cookie_dough.n.01,half__spice_cookie_dough.n.01
spinach.n.02,half__spinach.n.01
sprout.n.01,half__sprout.n.01
squid.n.01,half__squid.n.01
steak.n.01,half__steak.n.01
strawberry.n.01,half__strawberry.n.01
sugar_cookie.n.01,half__sugar_cookie.n.01
sugar_cookie_dough.n.01,half__sugar_cookie_dough.n.01
sunflower.n.01,half__sunflower.n.01
sushi.n.01,half__sushi.n.01
sweet_corn.n.02,half__sweet_corn.n.01
swiss_cheese.n.01,half__swiss_cheese.n.01
taco.n.02,half__taco.n.01
tenderloin.n.02,half__tenderloin.n.01
tiramisu.n.01,half__tiramisu.n.01
toast.n.01,half__toast.n.01
tofu.n.02,half__tofu.n.01
tortilla.n.01,half__tortilla.n.01
tortilla_chip.n.01,half__tortilla_chip.n.01
trout.n.01,half__trout.n.01
trunk.n.01,half__trunk.n.01
tulip.n.01,half__tulip.n.01
tuna.n.02,half__tuna.n.01
turkey.n.04,half__turkey.n.01
turkey_leg.n.01,half__turkey_leg.n.01
vanilla.n.01,half__vanilla.n.01
veal.n.01,half__veal.n.01
venison.n.01,half__venison.n.01
vidalia_onion.n.01,half__vidalia_onion.n.01
virginia_ham.n.01,half__virginia_ham.n.01
waffle.n.01,half__waffle.n.01
walnut.n.01,half__walnut.n.01
watermelon.n.02,half__watermelon.n.01
white_turnip.n.02,half__white_turnip.n.01
whole_garlic.n.01,half__whole_garlic.n.01
wrapping_paper.n.01,half__wrapping_paper.n.01
yam.n.03,half__yam.n.01
zucchini.n.02,half__zucchini.n.01
carrot.n.03,half__carrot.n.01
clove.n.03,half__clove.n.01
fried_chicken.n.01,half__fried_chicken.n.01
