synset,requires_closed
acetone__atomizer.n.01,0
aerosol.n.02,0
air_conditioner.n.01,0
air_freshener__atomizer.n.01,0
allspice__shaker.n.01,0
ammonia_water__atomizer.n.01,0
atomizer.n.01,0
audio_system.n.01,0
barbecue_sauce__bottle.n.01,0
bleaching_agent__atomizer.n.01,0
blender.n.01,1
burner.n.02,0
calculator.n.02,0
catsup__bottle.n.01,0
cayenne__shaker.n.01,0
ceiling_fan.n.01,0
cellular_telephone.n.01,0
chain_saw.n.01,0
chandelier.n.01,0
chocolate_sauce__bottle.n.01,0
cigar_lighter.n.01,0
cinnamon__shaker.n.01,0
clothes_dryer.n.01,1
coffee_maker.n.01,0
compound_microscope.n.01,0
conditioner__atomizer.n.01,0
conditioner__dispenser.n.01,0
console.n.02,0
control_panel.n.01,0
coriander__shaker.n.01,0
cream_of_tartar__shaker.n.01,0
crock_pot.n.01,0
cumin__shaker.n.01,0
curry_powder__shaker.n.01,0
deep_fryer.n.01,0
dehumidifier.n.01,0
deodorant__atomizer.n.01,0
desk_phone.n.01,0
desktop_computer.n.01,0
detergent__atomizer.n.01,0
digital_camera.n.01,0
dishwasher.n.01,1
drink__dispenser.n.01,0
drinking_fountain.n.02,0
electric_fan.n.01,0
electric_mixer.n.01,0
elevator.n.01,0
engine.n.01,0
exercise_bike.n.01,0
facsimile.n.02,0
fertilizer__atomizer.n.01,0
fire_alarm.n.02,0
fire_extinguisher.n.01,0
flashlight.n.01,0
floor_lamp.n.01,0
food_processor.n.01,0
ginger__shaker.n.01,0
glaze__bottle.n.01,0
grill.n.02,0
gun.n.01,0
hand_blower.n.01,0
hand_dryer.n.01,0
handset.n.01,0
heatgun.n.01,0
hot_sauce__bottle.n.01,0
hot_tub.n.02,0
ice_maker.n.01,0
insectifuge__atomizer.n.01,0
iron.n.04,0
isopropanol__dispenser.n.01,0
jam__dispenser.n.01,0
jukebox.n.01,0
electric_kettle.n.01,0
key.n.15,0
lab_exhaust_hood.n.01,0
laptop.n.01,0
lawn_mower.n.01,0
leaf_blower.n.01,0
lemon-pepper_seasoning__shaker.n.01,0
loudspeaker.n.01,0
marjoram__shaker.n.01,0
meat_thermometer.n.01,0
meter.n.02,0
microphone.n.01,0
microwave.n.02,1
modem.n.01,0
monitor.n.04,0
motorcycle.n.01,0
mustard__bottle.n.01,0
mustard_seed__shaker.n.01,0
nutmeg__shaker.n.01,0
onion_powder__shaker.n.01,0
oven.n.01,0
paprika__shaker.n.01,0
parmesan__shaker.n.01,0
pay-phone.n.01,0
pepper__shaker.n.01,0
pepper_mill.n.01,0
pesticide__atomizer.n.01,0
phonograph_record.n.01,0
photocopier.n.01,0
photoelectric_cell.n.01,0
popper.n.03,0
power_washer.n.01,0
pressure_cooker.n.01,0
printer.n.03,0
projector.n.02,0
pump.n.01,0
radiator.n.02,0
radio_receiver.n.01,0
range_hood.n.01,0
rice_cooker.n.01,0
rosemary__shaker.n.01,0
router.n.02,0
rubbing_alcohol__atomizer.n.01,0
saffron__shaker.n.01,0
sage__shaker.n.01,0
salsa__bottle.n.01,0
salt__shaker.n.01,0
sauna_heater.n.01,0
scanner.n.02,0
scoreboard.n.01,0
screen.n.01,0
sealant__atomizer.n.01,0
security_camera.n.01,0
security_system.n.02,0
self-registering_thermometer.n.01,0
sesame_seed__shaker.n.01,0
shampoo__dispenser.n.01,0
showerhead.n.01,0
shredder.n.01,0
sink.n.01,0
soap__bottle.n.01,0
soap_dispenser.n.01,0
soy_sauce__bottle.n.01,0
space_heater.n.01,0
spirit_lamp.n.01,0
spotlight.n.02,0
spray_paint__can.n.01,0
sprinkler.n.01,0
staple_gun.n.01,0
stove.n.01,0
sugar_syrup__bottle.n.01,0
switch.n.01,0
table_lamp.n.01,0
television_receiver.n.01,0
thermostat.n.01,0
thyme__shaker.n.01,0
timer.n.03,0
toaster_oven.n.01,0
toaster.n.02,0
treadmill.n.01,0
trimmer.n.02,0
vacuum.n.04,0
vanilla__bottle.n.01,0
vending_machine.n.01,0
ventilator.n.01,0
vinegar__atomizer.n.01,0
waffle_iron.n.01,0
washer.n.03,1
water__atomizer.n.01,0
water_cooler.n.01,0
water__dispenser.n.01,0
water_faucet.n.01,0
watering_can.n.01,0
webcam.n.02,0
whipped_cream__atomizer.n.01,0
whipped_cream__can.n.01,0
white_sauce__bottle.n.01,0
wine_sauce__bottle.n.01,0
yeast__shaker.n.01,0
squeeze_bottle.n.01,0
electric_hand_mixer.n.01,0
electric_cauldron.n.01,0
espresso_machine.n.01,0
oden_cooker.n.01,0
cooking_oil__atomizer.n.01,0
game_console.n.01,0
