# ingredients --> drip coffee - brewing_coffee,,
input,,
real,coffee_bean.n.01_(i),
real,water.n.06_(j),
transition machine,,
real,coffee_maker.n.01_(k),
output,,
real,drip_coffee.n.01_(l),
,,
# ingredients --> iced cappuccino - make_a_blended_iced_cappuccino,,
input,,
real,water.n.06_(i),
real,instant_coffee.n.01_(j),
real,cane_sugar.n.02_(k),
real,chocolate_milk.n.01_(l),
real,ice_cube.n.01_(m),
real,ice_cube.n.01_(n),
real,ice_cube.n.01_(o),
transition machine,,
real,blender.n.01_(p),
output,,
real,iced_cappuccino.n.01_(q),
,,
# ingredients --> espresso - make_a_cappuccino,,
input,,
real,water.n.06_(i),
real,instant_coffee.n.01_(j),
transition machine,,
real,coffee_maker.n.01_(k),
output,,
real,espresso.n.01_(m),
,,
# ingredients --> pastry dough - make_a_cheese_pastry,,
input,,
real,water.n.06_(i),
real,butter.n.01_(j),
real,flour.n.01_(k),
real,salt.n.02_(l),
transition machine,,
real,food_processor.n.01_(m),
output,,
real,pastry.n.01_(n),
not cooked,pastry.n.01_(n),
,,
"# ingredients --> milkshake, make_a_frappe",,
input,,
real,water.n.06_(i),
real,instant_coffee.n.01_(j),
real,cane_sugar.n.02_(k),
real,ice_cube.n.01_(l),
real,ice_cube.n.01_(m),
real,ice_cube.n.01_(n),
real,ice_cube.n.01_(o),
real,ice_cream.n.01_(p),
transition machine,,
real,blender.n.01_(q),
output,,
real,milkshake.n.01_(r),
,,
"# ingredients --> milkshake, make_a_milkshake",,
input,,
real,whole_milk.n.01_(i),
real,chocolate_sauce.n.01_(j),
real,ice_cream.n.01_(k),
transition machine,,
real,blender.n.01_(l),
output,,
real,milkshake.n.01_(m),
,,
# ingredients --> smoothie - make_a_strawberry_slushie,,
input,,
real,strawberry.n.01_(i),
real,strawberry.n.01_(j),
real,strawberry.n.01_(k),
real,ice_cube.n.01_(l),
real,ice_cube.n.01_(m),
real,ice_cube.n.01_(n),
real,ice_cube.n.01_(o),
real,lemon_juice.n.01_(p),
transition machine,,
real,blender.n.01_(q),
output,,
real,smoothie.n.02_(r),
,,
"# ingredients --> chocolate milk, make_chocolate_milk",,
input,,
real,granulated_sugar.n.01_(i),
real,cocoa_powder.n.01_(j),
real,low-fat_milk.n.01_(k),
transition machine,,
real,blender.n.01_(l),
output,,
real,chocolate_milk.n.01_(m),
,,
"# ingredients --> chocolate spread, make_chocolate_spread",,
input,,
real,butter.n.01_(i),
real,honey.n.01_(j),
real,cocoa_powder.n.01_(k),
transition machine,,
real,food_processor.n.01_(l),
output,,
real,chocolate_sauce.n.01_(m),
,,
"# ingredients --> coffee, make_coffee",,
input,,
real,coffee_bean.n.01_(i),
real,water.n.06_(j),
transition machine,,
real,coffee_maker.n.01_(k),
output,,
real,drip_coffee.n.01_(l),
contains,coffee_maker.n.01_(k),drip_coffee.n.01_(l)
,,
"# ingredients --> eggnog, make_eggnog",,
input,,
real,granulated_sugar.n.01_(i),
real,nutmeg.n.02_(j),
real,cinnamon.n.03_(k),
real,vanilla.n.02_(l),
real,rum.n.01_(m),
real,whole_milk.n.01_(n),
real,raw_egg.n.01_(o),
transition machine,,
real,blender.n.01_(p),
output,,
real,eggnog.n.01_(q),
,,
"# ingredients --> fruit punch, make_fruit_punch",,
input,,
real,diced__lemon.n.01_(i),
real,diced__strawberry.n.01_(j),
real,diced__orange.n.01_(k),
real,diced__apple.n.01_(l),
transition machine,,
real,blender.n.01_(m),
output,,
real,fruit_punch.n.01_(n),
,,
"# ingredients --> gazpacho, make_gazpacho",,
input,,
real,basil.n.03_(i),
real,salt.n.02_(j),
real,black_pepper.n.02_(k),
real,tomato_juice.n.01_(l),
real,cucumber.n.02_(m),
real,water.n.06_(n),
real,lemon_juice.n.01_(o),
transition machine,,
real,blender.n.01_(p),
output,,
real,gazpacho.n.01_(q),
contains,blender.n.01_(p),gazpacho.n.01_(q)
not real,basil.n.03_(i),
,,
