Object,Synset,hasAvgSpec?
floor,floor.n.01,1
armchair,armchair.n.01,1
basket,basket.n.01,1
bathtub,bathtub.n.01,1
bed,bed.n.01,1
bench,bench.n.01,1
bottom_cabinet,cabinet.n.01,1
bottom_cabinet_no_top,cabinet.n.01,1
breakfast_table,breakfast_table.n.01,1
burner,burner.n.01,1
carpet,rug.n.01,1
chaise_longue,chaise_longue.n.01,1
chest,chest.n.02,1
coffee_maker,coffee_maker.n.01,1
coffee_table,coffee_table.n.01,1
console_table,console_table.n.01,1
countertop,countertop.n.01,1
crib,crib.n.01,1
desk,desk.n.01,1
dishwasher,dishwasher.n.01,1
door,door.n.01,1
dryer,dryer.n.01,1
floor_lamp,floor_lamp.n.01,1
folding_chair,folding_chair.n.01,1
fridge,electric_refrigerator.n.01,1
gaming_table,gaming_table.n.01,1
grandfather_clock,grandfather_clock.n.01,1
guitar,guitar.n.01,1
heater,heater.n.01,1
highchair,highchair.n.01,1
laptop,laptop.n.01,1
loudspeaker,loudspeaker.n.01,1
microwave,microwave.n.02,1
mirror,mirror.n.01,1
monitor,monitor.n.04,1
oven,oven.n.01,1
pedestal_table,pedestal_table.n.01,1
piano,piano.n.01,1
picture,photograph.n.01,1
pillow,pillow.n.01,1
pool_table,pool_table.n.01,1
pot_plant,pot_plant.n.01,1
rail_fence,rail_fence.n.01,1
range_hood,range_hood.n.01,1
rocking_chair,rocking_chair.n.01,1
shelf,shelf.n.01,1
shower,shower.n.01,1
sink,sink.n.01,1
sofa,sofa.n.01,1
speaker_system,loudspeaker.n.01,1
stand,stand.n.04,1
standing_tv,television_receiver.n.01,1
stool,stool.n.01,1
stove,stove.n.01,1
straight_chair,straight_chair.n.01,1
swivel_chair,swivel_chair.n.01,1
table_lamp,table_lamp.n.01,1
toilet,toilet.n.02,1
top_cabinet,cabinet.n.01,1
towel_rack,towel_rack.n.01,1
trash_can,ashcan.n.01,1
treadmill,treadmill.n.01,1
wall_clock,wall_clock.n.01,1
wall_mounted_tv,television_receiver.n.01,1
washer,washer.n.03,1
window,window.n.01,1
apple,apple.n.01,1
apricot,apricot.n.02,1
artichoke,artichoke.n.02,1
avocado,avocado.n.01,1
banana,banana.n.02,1
bean,bean.n.01,1
beet,beet.n.02,1
bell_pepper,bell_pepper.n.02,1
bowl,bowl.n.01,1
broccoli,broccoli.n.02,1
brown_onion_sauce,lyonnaise_sauce.n.01,1
bucket,bucket.n.01,1
bulldog_clip,bulldog_clip.n.01,1
bulletin_board,bulletin_board.n.02,1
butter,butter.n.01,1
caliper,caliper.n.01,1
canned_food,canned_food.n.01,1
cantaloup,cantaloup.n.02,1
caper,caper.n.02,1
carafe,carafe.n.01,1
carrot,carrot.n.03,1
carving_knife,carving_knife.n.01,1
casserole,casserole.n.02,1
catsup,catsup.n.01,1
cheddar,cheddar.n.02,1
cheese_dip,cheese_dip.n.01,1
cherry,cherry.n.03,1
chestnut,chestnut.n.03,1
chip,chip.n.04,1
chives,chives.n.01,1
chopping_board,chopping_board.n.01,1
clove,clove.n.03,1
coatrack,coatrack.n.01,1
coconut,coconut.n.01,1
colander,colander.n.01,1
corn_flake,corn_flake.n.01,1
cream,cream.n.02,1
cream_pitcher,cream_pitcher.n.01,1
cruet,cruet.n.01,1
cucumber,cucumber.n.02,1
digital_scale,scale.n.07,1
dinner_napkin,dinner_napkin.n.01,1
dipper,dipper.n.01,1
dish_rack,dish_rack.n.01,1
egg,egg.n.02,1
eggplant,eggplant.n.01,1
eraser,eraser.n.01,1
farfalle,farfalle.n.01,1
flour,flour.n.01,1
foot_rule,foot_rule.n.01,1
frying_pan,frying_pan.n.01,1
glass,glass.n.02,1
gooseberry,gooseberry.n.01,1
granola,granola.n.01,1
grape,grape.n.01,1
grater,grater.n.01,1
griddle,griddle.n.01,1
half_apple,apple.n.01,1
half_apricot,apricot.n.02,1
half_avocado,avocado.n.01,1
half_cantaloup,cantaloup.n.02,1
half_chestnut,chestnut.n.03,1
half_coconut,coconut.n.01,1
half_eggplant,eggplant.n.01,1
half_kiwi,kiwi.n.03,1
half_lemon,lemon.n.01,1
half_mushroom,mushroom.n.05,1
half_orange,orange.n.01,1
half_peach,peach.n.03,1
half_pear,pear.n.01,1
half_pineapple,pineapple.n.02,1
half_pistachio,pistachio.n.02,1
half_plum,plum.n.02,1
half_pomegranate,pomegranate.n.02,1
half_pomelo,pomelo.n.02,1
half_strawberry,strawberry.n.01,1
half_tomato,tomato.n.01,1
half_vidalia_onion,vidalia_onion.n.01,1
half_zucchini,zucchini.n.02,1
head_cabbage,head_cabbage.n.02,1
highlighter,highlighter.n.02,1
honing_steel,steel.n.03,1
jar,jar.n.01,1
kettle,kettle.n.01,1
kitchen_analog_scale,scale.n.07,1
kiwi,kiwi.n.03,1
lasagna,lasagna.n.01,1
lemon,lemon.n.01,1
lettuce,lettuce.n.03,1
lid,lid.n.02,1
low-fat_milk,low-fat_milk.n.01,1
margarine,margarine.n.01,1
mat,mat.n.07,1
millet,millet.n.03,1
mug,mug.n.04,1
mushroom,mushroom.n.05,1
oatmeal,oatmeal.n.01,1
olive,olive.n.04,1
olive_oil,olive_oil.n.01,1
orange,orange.n.01,1
paper_clip,paper_clip.n.01,1
paper_towel,paper_towel.n.01,1
paper_towel_holder,holder.n.01,1
parer,parer.n.02,1
parmesan,parmesan.n.01,1
parsley,parsley.n.02,1
pea,pea.n.01,1
peach,peach.n.03,1
pear,pear.n.01,1
pen,pen.n.01,1
pencil,pencil.n.01,1
pencil_box,pencil_box.n.01,1
penne,penne.n.01,1
pepper_grinder,pepper_grinder.n.01,1
pepper_sauce,pepper_sauce.n.01,1
pineapple,pineapple.n.02,1
pistachio,pistachio.n.02,1
plum,plum.n.02,1
pomegranate,pomegranate.n.02,1
pomelo,pomelo.n.02,1
pop,pop.n.02,1
pop_case,pop.n.02,1
potato,potato.n.01,1
powdered_milk,powdered_milk.n.01,1
puffed_rice,puffed_rice.n.01,1
pumpkin,pumpkin.n.02,1
radish,radish.n.01,1
raisin_bran,raisin_bran.n.01,1
raspberry,raspberry.n.02,1
rice,rice.n.01,1
rosehip,hip.n.05,1
saucepan,saucepan.n.01,1
soup_ladle,soup_ladle.n.01,1
spaghetti,spaghetti.n.01,1
spaghetti_sauce,spaghetti_sauce.n.01,1
spatula,spatula.n.01,1
spinach,spinach.n.02,1
spoon,spoon.n.01,1
sticky_note,pad.n.01,1
straight_pin,straight_pin.n.01,1
strawberry,strawberry.n.01,1
sweet_corn,sweet_corn.n.02,1
table_knife,table_knife.n.01,1
tablefork,tablefork.n.01,1
tape,tape.n.01,1
teapot,teapot.n.01,1
thumbtack,thumbtack.n.01,1
toasting_fork,toasting_fork.n.01,1
tomato,tomato.n.01,1
tongs,tongs.n.01,1
turnip,turnip.n.02,1
velveeta,velveeta.n.01,1
vidalia_onion,vidalia_onion.n.01,1
walnut,walnut.n.01,1
watermelon,watermelon.n.02,1
whiteboard,display_panel.n.01,1
wine_bottle,wine_bottle.n.01,1
yogurt,yogurt.n.01,1
zucchini,zucchini.n.02,1
gym_shoe,gym_shoe.n.01,1
video_game,computer_game.n.01,1
board_game,board_game.n.01,1
walker,walker.n.04,1
medicine,medicine.n.02,1
sandal,sandal.n.01,1
hat,hat.n.01,1
protein_powder,protein.n.01,1
ink_cartridge,ink_cartridge.n.01,1
cpu_board,cpu_board.n.01,1
router,router.n.02,1
keyboard,keyboard.n.01,1
headset,headset.n.01,1
mouse,mouse.n.04,1
hard_drive,disk_drive.n.01,1
hammer,hammer.n.02,1
glove,glove.n.02,1
bath_towel,bath_towel.n.01,1
dishtowel,dishtowel.n.01,1
hand_towel,hand_towel.n.01,1
toy,plaything.n.01,1
envelope,envelope.n.01,1
bag,bag.n.01,1
chocolate_box,chocolate.n.02,1
ribbon,ribbon.n.01,1
lotion,lotion.n.01,1
tea_box,tea.n.01,1
soap,soap.n.01,1
cracker_box,cracker.n.01,1
ball,ball.n.01,1
t-shirt,jersey.n.03,1
candy_cane,candy_cane.n.01,1
shampoo,shampoo.n.01,1
conditioner,conditioner.n.03,1
candle,candle.n.01,1
water,water.n.06,1
folderal,folderal.n.01,1
light_bulb,light_bulb.n.01,1
wall_socket,wall_socket.n.01,1
cord,cord.n.01,1
bell,bell.n.01,1
baseboard,baseboard.n.01,1
plywood,plywood.n.01,1
tile,tile.n.01,1
clout_nail,clout_nail.n.01,1
hinge,hinge.n.01,1
screwdriver,screwdriver.n.01,1
drumstick,drumstick.n.02,1
rag,rag.n.01,1
package,package.n.02,1
pocketknife,pocketknife.n.01,1
scissors,scissors.n.01,1
hardback,hardback.n.01,1
notebook,notebook.n.01,1
hairbrush,hairbrush.n.01,1
sausage,sausage.n.01,1
chili,chili.n.02,1
hamburger,hamburger.n.01,1
tray,tray.n.01,1
toothpick,toothpick.n.01,1
plate,plate.n.04,1
dart,dart.n.01,1
dartboard,dartboard.n.01,1
blender,blender.n.01,1
straw,straw.n.04,1
container_date,date.n.08,1
