"Scene","Rooms","Objects","Ready?"
"Beechwood_0_garden","24","373","Fully Ready"
"Beechwood_0_int","22","266","Fully Ready"
"Beechwood_1_int","28","158","Fully Ready"
"Benevolence_0_int","8","23","Fully Ready"
"Benevolence_1_int","12","75","Fully Ready"
"Benevolence_2_int","14","71","Fully Ready"
"gates_bedroom","1","33","Not Ready"
"grocery_store_asian","6","3413","Fully Ready"
"grocery_store_cafe","10","7065","Fully Ready"
"grocery_store_convenience","6","1766","Fully Ready"
"grocery_store_half_stocked","6","3228","Fully Ready"
"hall_arch_wood","6","106","Fully Ready"
"hall_conference_large","6","3410","Fully Ready"
"hall_glass_ceiling","6","136","Fully Ready"
"hall_train_station","6","183","Fully Ready"
"hotel_gym_spa","18","340","Fully Ready"
"hotel_suite_large","4","210","Fully Ready"
"hotel_suite_small","4","48","Fully Ready"
"house_double_floor_lower","12","386","Fully Ready"
"house_double_floor_upper","12","327","Fully Ready"
"house_single_floor","42","1046","Fully Ready"
"Ihlen_0_int","14","93","Fully Ready"
"Ihlen_1_int","26","195","Fully Ready"
"Merom_0_garden","18","214","Fully Ready"
"Merom_0_int","14","91","Fully Ready"
"Merom_1_int","24","138","Fully Ready"
"office_bike","4","432","Fully Ready"
"office_cubicles_left","26","820","Fully Ready"
"office_cubicles_right","22","436","Fully Ready"
"office_large","50","1144","Fully Ready"
"office_vendor_machine","10","254","Fully Ready"
"Pomaria_0_garden","20","316","Fully Ready"
"Pomaria_0_int","18","92","Fully Ready"
"Pomaria_1_int","14","100","Fully Ready"
"Pomaria_2_int","14","57","Fully Ready"
"restaurant_asian","10","1313","Fully Ready"
"restaurant_brunch","8","809","Fully Ready"
"restaurant_cafeteria","8","315","Fully Ready"
"restaurant_diner","10","888","Fully Ready"
"restaurant_hotel","12","1106","Fully Ready"
"restaurant_urban","10","1399","Fully Ready"
"Rs_garden","12","187","Fully Ready"
"Rs_int","10","86","Fully Ready"
"school_biology","8","700","Fully Ready"
"school_chemistry","8","774","Fully Ready"
"school_computer_lab_and_infirmary","12","817","Fully Ready"
"school_geography","14","850","Fully Ready"
"school_gym","16","879","Fully Ready"
"Wainscott_0_garden","26","506","Fully Ready"
"Wainscott_0_int","24","182","Fully Ready"
"Wainscott_1_int","32","188","Fully Ready"
