"Name","Synset State","Custom?","Leaf?","Definition","Parents","Children","Properties","Used as Predicates","Tasks","Direct Categories","Direct Objects","Total Objects","Requiring Task Count"
"abrasive.n.01","Ready","False","False","a substance that abrades or wears down","material.n.01,","emery_paper.n.01,                         steel_wool.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","2","0"
"absorbent_material.n.01","Ready","False","False","a material having capacity or tendency to absorb another substance","sorbent.n.01,","sponge.n.01,","deformable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rustable,                         scratchable,                         softBody,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","3","0"
"abstraction.n.06","Ready","False","False","a general concept formed by extracting common features from specific examples","entity.n.01,","measure.n.02,                         attribute.n.02,                         psychological_feature.n.01,                         relation.n.01,                         group.n.01,                         communication.n.02,","freezable,","","","","0","469","0"
"accessory.n.01","Ready","False","False","clothing that is worn or carried, but not part of your main clothing","clothing.n.01,","belt.n.02,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"accessory.n.02","Ready","False","False","a supplementary component that improves capability","component.n.03,","fitting.n.02,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","13","0"
"acetone.n.01","Substance","False","True","the simplest ketone; a highly inflammable liquid widely used as an organic solvent and as material for making plastics","solvent.n.01,                         ketone.n.01,","","boilable,                         flammable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","insource,","spring_clean_your_skateboard-0,                         clean_marker_off_a_doll-0,","acetone,","0","0","2"
"acetone__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleApplier,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","ontop,                        insource,","spring_clean_your_skateboard-0,                         clean_marker_off_a_doll-0,","acetone_atomizer,","1","1","2"
"acid.n.01","Substance","False","True","any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt","compound.n.02,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","","","","0","0","0"
"acknowledgment.n.03","Ready","False","False","a statement acknowledging something or someone","message.n.02,","receipt.n.02,","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","5","0"
"acorn.n.01","Ready","False","True","fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base","fruit.n.01,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,                        covered,","planting_trees-0,","acorn,","1","1","1"
"acoustic_device.n.01","Ready","False","False","a device for amplifying or transmitting sound","device.n.01,","whistle.n.04,                         bell.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","2","0"
"acquisition.n.02","Not Ready","False","False","something acquired","transferred_property.n.01,","gift.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"act.n.02","Ready","False","False","something that people do or cause to happen","event.n.01,","activity.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","33","0"
